,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,10,12,4,3,9,12,11,14,6,5,10,12,9,6,14,12,2,0,10,9,14,3,9,12,3,8,6,14,3
vessel 1,6,0,8,9,12,10,7,13,13,9,11,5,11,8,17,6,9,15,13,1,8,3,1,2,5,11,12,7,14,11
vessel 2,3,9,0,7,4,3,2,5,11,4,4,9,1,14,10,14,3,2,1,14,9,4,12,10,5,4,1,10,5,14
vessel 3,5,11,3,0,0,15,6,4,2,15,10,7,0,4,1,8,1,8,10,3,11,10,5,6,9,6,11,1,9,9
vessel 4,5,7,8,10,0,0,14,12,14,12,12,10,13,8,5,6,5,5,9,11,8,5,4,4,1,10,5,2,16,11
vessel 5,11,10,11,8,6,0,13,10,8,3,5,1,13,11,10,12,1,14,0,5,10,8,11,5,6,5,13,7,6,10
vessel 6,15,10,8,11,7,8,0,9,9,4,6,16,13,11,13,4,2,15,9,5,4,5,8,3,4,2,9,5,11,13
vessel 7,7,6,2,3,8,11,4,0,1,11,13,17,7,2,2,13,7,14,17,13,5,10,5,4,10,5,6,10,2,13
vessel 8,7,4,7,14,9,6,11,8,0,15,4,14,14,4,10,14,14,6,16,1,11,9,6,15,10,2,3,0,3,4
vessel 9,4,13,9,12,2,10,12,11,5,0,9,6,9,13,5,11,4,13,1,14,14,11,4,9,8,10,4,3,11,1
vessel 10,7,6,10,8,3,3,10,7,7,14,0,4,5,15,11,11,2,9,6,3,13,11,6,11,10,8,9,1,0,15
vessel 11,13,11,3,9,8,6,0,15,3,1,4,0,17,9,4,9,5,11,3,9,13,10,4,2,2,2,14,7,11,9
vessel 12,9,3,12,11,10,10,10,9,1,7,2,1,0,13,8,7,1,6,4,2,13,10,10,6,1,12,6,0,8,11
vessel 13,6,3,14,2,10,5,1,0,0,2,9,1,7,0,15,12,14,9,14,10,9,2,3,9,5,14,7,9,12,13
vessel 14,13,8,3,13,12,8,6,5,8,7,6,14,13,2,0,14,1,13,14,9,8,10,5,14,13,5,10,5,4,12
vessel 15,5,13,6,12,8,12,8,16,10,9,3,3,11,11,13,0,11,0,0,1,4,12,8,13,11,14,5,15,12,10
vessel 16,6,7,12,4,14,5,12,12,7,5,14,13,4,15,4,12,0,9,13,8,3,12,11,9,10,13,7,13,7,8
vessel 17,7,11,1,15,9,6,7,5,7,14,13,12,12,7,11,6,3,0,9,0,5,1,2,1,6,16,9,7,8,1
vessel 18,17,8,14,4,9,3,9,10,6,4,12,5,13,1,13,11,14,9,0,10,4,8,16,11,3,3,10,5,13,6
vessel 19,7,9,2,10,4,2,9,2,14,10,9,12,9,14,2,7,7,5,4,0,2,11,10,0,14,12,13,5,8,15
vessel 20,7,9,3,13,11,0,10,8,8,13,1,12,1,7,2,4,13,7,3,4,0,4,5,5,14,6,10,12,14,3
vessel 21,14,3,12,11,3,8,14,6,10,0,13,12,15,3,1,7,9,11,4,9,7,0,7,12,12,9,9,14,1,5
vessel 22,9,9,13,9,6,6,12,8,1,5,16,10,7,15,11,5,1,3,10,14,5,6,0,5,13,9,2,7,2,8
vessel 23,7,3,14,5,14,2,9,3,15,5,5,9,11,17,8,3,3,10,15,13,6,12,9,0,16,7,15,7,12,12
vessel 24,1,7,3,6,14,7,7,7,9,9,6,14,12,12,7,4,4,4,5,2,11,14,8,4,0,12,7,8,8,5
vessel 25,14,3,8,9,7,12,7,11,3,1,8,12,11,11,13,11,10,11,11,13,1,9,6,8,7,0,5,5,18,12
vessel 26,0,7,3,0,13,7,2,6,15,4,4,9,7,12,0,11,14,3,6,9,8,13,8,11,7,15,0,10,7,15
vessel 27,3,8,16,10,6,6,0,15,1,3,14,7,8,5,12,1,14,8,11,3,15,7,3,8,6,11,7,0,13,7
vessel 28,14,13,6,10,3,9,10,3,15,14,12,14,14,11,8,5,2,10,11,5,14,4,12,4,3,12,13,10,0,13
vessel 29,7,4,7,15,7,9,16,5,14,0,4,15,8,6,7,10,6,7,12,11,14,13,14,13,14,4,15,4,0,0
