,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,8,14,4,6,8,12,9,14,4,3,14,14,9,8,14,12,1,2,13,11,15,4,10,14,5,9,4,14,6
vessel 1,3,0,10,9,16,10,6,16,12,7,12,10,12,7,15,8,10,15,14,1,10,3,1,3,5,9,12,6,14,12
vessel 2,5,10,0,6,4,5,2,4,11,3,3,8,5,17,10,16,4,1,1,13,11,3,11,7,6,4,2,13,4,14
vessel 3,7,11,6,0,1,14,7,5,2,16,11,6,0,5,1,6,2,8,11,3,12,10,4,6,6,9,10,0,10,11
vessel 4,6,7,9,7,0,1,13,14,14,11,10,10,12,10,6,6,6,7,7,11,7,3,4,3,2,9,10,6,11,12
vessel 5,12,9,11,8,8,0,14,11,5,4,6,1,13,11,9,12,2,12,0,6,10,7,11,2,8,5,11,6,7,10
vessel 6,17,10,6,11,6,6,0,9,9,4,8,14,13,12,14,2,2,14,8,7,3,6,11,1,4,2,10,5,12,14
vessel 7,10,6,1,4,8,12,4,0,0,12,15,13,7,4,3,14,7,13,15,13,6,10,5,5,10,4,7,11,3,13
vessel 8,8,5,9,15,8,7,15,7,0,15,7,14,12,3,11,14,16,5,15,2,12,8,6,16,9,2,2,2,3,5
vessel 9,4,13,9,11,2,9,13,11,7,0,9,6,8,16,7,13,4,14,3,16,13,13,4,9,6,12,6,3,11,0
vessel 10,6,7,10,9,4,3,12,8,9,14,0,4,5,14,12,12,1,13,5,3,14,10,5,9,9,5,9,2,0,15
vessel 11,12,10,2,11,9,4,1,14,2,1,6,0,18,9,4,9,5,10,2,12,11,10,5,2,3,5,10,6,13,10
vessel 12,10,5,11,10,11,12,15,9,2,9,6,1,0,15,8,8,1,5,6,2,14,10,10,5,6,14,7,4,8,11
vessel 13,7,2,13,4,7,6,1,2,0,5,9,3,8,0,15,11,14,11,15,10,10,2,3,9,3,13,4,8,12,12
vessel 14,15,8,6,13,12,8,4,5,7,8,5,15,12,2,0,16,1,14,15,7,9,9,3,14,12,6,12,7,1,12
vessel 15,6,13,7,15,7,11,7,13,9,11,5,1,12,12,14,0,11,1,2,3,5,12,9,12,11,13,7,14,10,12
vessel 16,7,7,12,3,16,8,9,15,6,10,15,14,3,13,3,12,0,12,13,10,4,10,13,11,11,12,5,14,7,8
vessel 17,8,12,2,16,11,5,6,6,8,14,13,13,14,5,11,6,4,0,11,1,4,1,4,3,7,16,9,7,8,2
vessel 18,15,10,13,7,7,3,8,11,7,3,13,6,15,2,14,13,14,10,0,8,5,11,14,9,3,3,9,7,13,8
vessel 19,7,9,4,11,6,2,8,5,15,7,10,14,10,11,1,8,6,6,5,0,1,13,10,1,14,13,12,5,6,16
vessel 20,10,7,4,13,9,1,9,10,9,13,9,13,1,6,0,3,15,8,3,4,0,4,4,5,17,5,9,9,16,2
vessel 21,16,3,12,12,3,7,15,9,12,1,12,15,17,3,4,5,9,9,4,9,8,0,7,12,14,9,10,14,1,6
vessel 22,8,9,16,10,5,8,11,9,2,3,14,7,6,14,13,4,2,5,9,16,7,6,0,4,13,9,1,6,4,8
vessel 23,10,2,16,5,13,3,8,2,14,7,2,9,11,15,7,6,3,10,16,13,6,14,5,0,14,5,14,7,12,11
vessel 24,1,7,2,6,15,7,7,8,13,11,5,16,13,13,9,5,5,5,7,3,11,12,8,4,0,13,8,9,9,5
vessel 25,14,4,9,8,8,8,7,10,1,0,9,11,10,13,13,11,9,13,11,12,1,10,9,8,10,0,5,6,16,14
vessel 26,4,8,2,0,13,9,3,3,16,7,7,9,7,13,1,12,13,4,5,6,9,13,9,10,9,13,0,12,7,13
vessel 27,2,8,14,11,5,8,2,13,2,6,8,7,5,4,11,3,14,9,13,4,16,6,5,7,9,17,7,0,14,8
vessel 28,16,16,4,11,2,8,15,7,15,13,12,13,17,13,6,4,3,9,13,6,15,3,13,5,3,11,14,10,0,12
vessel 29,8,6,11,16,6,10,14,8,14,0,5,17,7,6,6,10,6,7,13,12,15,11,16,13,13,5,17,2,0,0
