,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,13,7,5,8,13,9,15,5,5,9,13,10,8,16,14,1,1,11,11,13,4,11,15,3,9,5,13,1
vessel 1,3,0,9,9,12,10,8,16,13,8,10,7,12,6,16,6,9,16,13,1,9,4,0,2,7,11,11,6,14,12
vessel 2,4,9,0,7,3,5,2,3,10,3,3,9,0,15,11,16,4,0,3,13,10,6,11,9,6,3,2,10,4,15
vessel 3,5,12,3,0,2,16,6,4,2,16,11,8,0,5,3,6,0,8,12,3,10,10,3,6,7,5,9,4,11,8
vessel 4,5,6,8,8,0,1,13,13,15,11,10,12,13,9,5,8,5,3,8,11,8,5,5,2,1,9,4,2,12,12
vessel 5,11,9,9,7,6,0,14,14,7,4,5,4,14,10,10,13,3,13,0,6,9,7,11,3,7,6,14,5,5,9
vessel 6,15,10,7,11,7,5,0,9,10,6,7,14,14,11,15,2,2,16,8,4,6,5,9,3,3,3,9,8,12,16
vessel 7,9,7,0,4,8,10,6,0,1,13,15,13,7,2,2,14,8,13,16,13,4,8,4,4,9,4,9,9,2,14
vessel 8,6,5,8,16,8,5,12,6,0,16,4,13,14,4,11,15,15,4,15,2,10,8,7,16,8,2,3,1,3,2
vessel 9,4,13,10,11,0,8,12,10,6,0,9,5,9,13,6,10,7,12,3,13,14,11,4,8,6,11,5,5,10,2
vessel 10,5,6,11,7,2,4,10,10,6,12,0,4,5,15,13,11,5,10,5,3,12,11,5,10,8,4,8,1,3,14
vessel 11,11,10,4,12,8,4,0,14,4,1,4,0,16,9,4,10,5,10,2,10,10,9,3,1,1,4,12,6,12,8
vessel 12,9,4,13,10,11,11,10,10,1,8,1,2,0,13,8,7,4,4,4,2,15,10,9,5,4,12,6,1,6,10
vessel 13,9,4,14,3,9,4,5,0,4,4,8,2,7,0,16,13,16,9,14,13,10,2,5,10,3,13,4,8,11,12
vessel 14,14,8,4,12,11,9,3,4,6,8,5,14,12,1,0,15,3,14,14,8,9,7,4,16,13,9,12,7,1,10
vessel 15,4,15,9,13,7,10,6,15,9,10,3,7,12,11,13,0,15,1,0,2,4,10,11,14,12,13,5,14,10,11
vessel 16,7,8,15,4,14,4,13,13,9,6,16,13,5,12,4,13,0,9,12,10,5,10,11,8,10,12,4,13,9,7
vessel 17,7,11,1,15,11,6,7,5,8,14,12,14,11,4,12,5,4,0,11,1,7,2,2,2,6,14,9,9,8,1
vessel 18,15,9,14,4,9,6,7,11,9,3,11,5,15,0,13,12,14,10,0,8,2,8,14,9,1,6,8,6,14,6
vessel 19,6,10,3,11,4,2,10,3,13,7,9,14,11,13,0,8,6,7,3,0,3,11,10,0,14,11,12,3,8,15
vessel 20,8,7,6,13,8,1,9,9,7,12,2,12,2,5,3,6,11,7,3,3,0,3,8,5,15,6,9,12,16,2
vessel 21,14,4,12,11,3,7,13,9,10,3,11,12,16,4,4,7,10,10,3,8,9,0,9,12,13,10,9,14,1,5
vessel 22,9,10,13,9,6,6,15,9,3,3,15,7,6,12,11,4,1,4,9,16,6,5,0,4,12,9,2,6,4,10
vessel 23,7,0,16,4,14,7,8,2,15,5,1,9,9,17,6,4,3,8,14,15,9,12,7,0,14,5,15,7,12,14
vessel 24,1,8,4,6,14,6,8,8,11,11,6,14,14,15,8,5,4,7,5,2,12,13,10,6,0,12,9,9,9,5
vessel 25,13,3,9,8,6,6,8,9,2,1,8,12,10,10,11,13,8,12,13,11,0,10,6,9,8,0,6,6,15,13
vessel 26,3,5,4,0,13,7,3,3,14,4,4,9,6,14,0,12,12,2,5,9,8,16,9,11,8,15,0,10,5,13
vessel 27,0,8,13,13,6,6,0,13,3,5,7,7,7,4,11,1,14,9,11,5,15,3,6,6,7,13,7,0,13,5
vessel 28,13,14,5,9,4,9,13,3,15,15,14,13,14,11,6,4,2,9,14,5,14,4,13,4,5,12,14,9,0,12
vessel 29,7,5,8,16,8,8,13,5,14,2,5,17,9,6,6,11,6,7,12,9,14,14,16,11,13,4,14,3,1,0
