,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,12,5,5,9,11,12,14,4,6,11,12,8,7,16,18,5,0,11,11,13,2,10,14,5,9,5,14,1
vessel 1,4,0,10,10,16,10,8,13,16,7,15,7,11,7,14,7,9,15,12,3,9,3,1,1,4,8,11,10,15,11
vessel 2,5,10,0,6,3,5,3,3,12,4,2,8,0,14,10,16,3,0,1,12,10,5,11,10,5,3,0,10,4,15
vessel 3,5,15,6,0,0,19,5,3,2,16,11,6,0,4,3,7,0,9,11,4,9,11,5,6,8,7,8,2,9,8
vessel 4,8,7,9,9,0,3,14,13,16,11,11,11,12,10,5,10,6,5,7,12,8,3,4,4,1,9,5,3,15,12
vessel 5,14,14,10,8,7,0,13,10,7,2,6,1,13,12,13,12,2,13,1,7,10,8,12,3,6,10,15,5,5,9
vessel 6,16,13,6,11,8,8,0,8,12,5,10,17,12,14,14,2,3,15,10,7,5,5,10,2,3,3,13,5,11,14
vessel 7,10,8,0,4,7,10,5,0,1,13,13,12,6,2,4,13,6,16,16,13,6,10,6,3,8,5,7,11,3,13
vessel 8,7,3,8,14,9,6,13,6,0,15,5,13,15,2,11,14,16,4,17,1,11,9,7,16,8,1,1,2,4,4
vessel 9,6,14,11,9,0,9,13,10,6,0,8,5,8,14,5,10,6,14,3,15,13,14,4,10,8,12,4,4,10,0
vessel 10,5,6,10,8,5,3,12,8,13,14,0,5,4,14,14,12,6,11,6,2,13,13,3,11,9,2,11,2,1,15
vessel 11,11,13,1,10,7,5,2,16,3,0,5,0,16,9,5,10,5,11,2,10,12,9,4,2,1,2,13,6,11,13
vessel 12,9,3,12,11,9,11,14,8,4,8,2,0,0,14,10,8,4,5,5,1,13,10,12,8,3,12,6,1,8,9
vessel 13,6,3,13,2,8,7,3,1,3,2,8,1,6,0,14,11,15,9,17,12,8,3,6,9,5,15,4,7,10,16
vessel 14,15,6,5,13,12,10,7,6,6,8,5,15,12,1,0,17,2,13,15,9,8,7,4,15,11,6,11,7,2,10
vessel 15,5,16,6,12,8,13,6,13,10,12,3,5,15,11,13,0,11,2,1,1,5,11,10,13,13,13,4,13,12,10
vessel 16,11,7,14,5,15,8,13,12,7,5,13,15,4,14,4,14,0,9,13,9,3,12,15,10,12,14,4,17,8,7
vessel 17,7,13,3,15,10,7,7,8,8,14,13,16,10,6,11,7,4,0,10,1,5,2,3,2,6,14,8,7,10,0
vessel 18,17,8,13,5,8,2,6,11,9,5,12,6,15,0,13,12,15,12,0,8,4,10,16,10,1,4,8,7,13,6
vessel 19,8,9,4,9,3,2,9,3,14,10,10,15,11,12,1,7,8,7,5,0,2,11,12,3,12,14,16,4,7,15
vessel 20,9,7,4,13,7,5,11,11,9,14,3,13,2,6,2,3,13,8,5,3,0,4,7,4,15,7,10,13,14,3
vessel 21,15,5,11,11,2,8,13,9,11,0,13,12,15,3,1,7,11,9,4,8,7,0,8,14,15,9,11,14,0,5
vessel 22,8,8,16,10,5,10,14,11,2,5,15,9,6,14,11,3,1,5,9,15,5,9,0,5,12,9,1,7,2,8
vessel 23,9,2,15,5,16,3,8,1,16,7,3,10,9,15,9,4,3,10,15,12,8,13,9,0,15,8,16,9,13,11
vessel 24,1,9,5,7,17,7,6,10,8,10,5,17,15,13,8,5,3,5,5,5,11,12,8,5,0,15,6,8,9,7
vessel 25,15,7,8,8,6,8,7,9,3,0,8,13,10,11,12,13,10,10,12,11,1,10,7,6,10,0,6,8,15,12
vessel 26,2,7,3,0,13,6,3,4,16,5,5,12,6,13,0,11,13,2,6,10,9,15,8,10,9,15,0,11,5,15
vessel 27,3,7,14,11,7,8,1,13,3,5,5,7,6,5,8,5,13,9,12,4,16,6,5,6,7,12,8,0,13,3
vessel 28,14,12,4,12,1,10,15,3,14,16,13,12,15,14,8,4,2,9,14,6,16,5,15,3,4,11,13,9,0,16
vessel 29,6,5,9,13,7,11,14,5,14,1,4,16,7,8,8,10,5,6,12,9,14,11,16,13,12,8,15,3,2,0
