,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,13,5,3,9,12,9,14,6,6,11,13,9,6,15,15,3,0,13,9,13,4,11,15,4,7,7,11,2
vessel 1,3,0,11,10,13,10,7,14,13,9,10,8,12,5,15,7,10,14,12,0,9,3,1,1,6,9,12,9,15,11
vessel 2,5,9,0,5,4,1,3,3,11,4,2,9,0,14,9,14,2,0,1,14,9,6,13,7,5,3,1,9,4,15
vessel 3,7,12,4,0,1,16,6,4,5,14,11,8,0,4,2,6,0,9,12,2,9,11,5,7,7,7,10,2,9,10
vessel 4,5,8,8,7,0,1,13,13,14,11,11,11,12,10,3,6,4,5,7,12,9,3,5,3,2,11,3,2,12,11
vessel 5,13,9,10,9,6,0,14,10,8,1,5,2,14,10,11,15,2,13,2,5,10,7,10,2,7,6,16,5,10,9
vessel 6,17,10,8,11,6,5,0,11,9,3,8,14,14,13,13,2,1,15,9,5,4,5,10,2,5,2,10,8,10,14
vessel 7,10,7,2,3,8,10,5,0,1,13,13,12,7,3,4,14,6,12,18,14,6,9,4,3,10,6,10,9,3,15
vessel 8,8,5,9,13,9,6,13,6,0,18,4,13,14,3,10,15,15,6,16,2,12,9,9,16,9,4,3,1,2,3
vessel 9,6,14,10,9,2,10,12,11,7,0,8,6,8,15,7,10,4,13,3,13,12,11,5,10,9,12,4,3,9,0
vessel 10,5,6,12,7,3,3,10,9,8,13,0,4,4,15,14,13,3,12,4,4,13,12,3,11,7,7,8,1,2,18
vessel 11,11,10,2,9,7,3,2,16,2,0,7,0,15,9,4,11,7,11,3,9,10,9,3,4,1,3,13,7,12,10
vessel 12,10,3,11,11,11,12,11,8,3,9,0,1,0,12,8,8,2,4,3,0,13,9,9,5,3,14,9,1,7,9
vessel 13,6,4,15,1,7,7,2,0,3,3,9,2,9,0,16,12,18,8,17,11,9,1,4,10,3,13,4,7,10,12
vessel 14,13,9,4,11,11,8,4,4,6,7,6,14,12,1,0,16,3,14,16,7,9,9,3,15,11,6,11,5,2,12
vessel 15,6,12,6,12,11,10,5,13,10,10,3,1,13,14,15,0,11,0,1,3,6,10,8,13,13,15,4,13,11,10
vessel 16,6,7,13,3,15,5,12,13,5,10,14,12,3,12,4,12,0,10,15,9,8,11,12,8,10,16,3,14,8,7
vessel 17,6,12,4,15,11,5,8,6,8,11,13,13,11,5,11,6,3,0,10,2,5,3,6,3,8,14,9,11,9,3
vessel 18,14,7,13,4,9,3,6,10,6,5,13,7,16,0,13,12,16,10,0,6,3,9,14,11,2,5,11,4,15,6
vessel 19,6,9,3,10,5,1,9,6,15,11,11,14,11,12,3,7,6,6,3,0,4,10,10,2,13,12,13,4,8,14
vessel 20,7,7,4,12,9,1,9,9,9,12,1,14,1,5,0,3,13,9,5,4,0,4,5,5,17,5,9,12,16,4
vessel 21,17,4,14,11,3,8,14,7,10,0,12,15,16,4,4,8,10,11,3,10,10,0,7,15,14,10,13,13,1,5
vessel 22,8,8,13,10,4,8,11,8,2,5,14,8,6,14,10,3,2,4,11,14,5,6,0,4,13,8,0,6,3,7
vessel 23,8,1,14,6,12,4,8,0,13,6,1,10,13,16,7,6,4,9,16,13,9,13,9,0,14,6,14,7,14,12
vessel 24,1,7,0,6,14,7,11,7,8,8,7,15,13,13,8,4,6,4,6,2,10,14,7,4,0,11,8,9,8,6
vessel 25,15,4,9,9,6,7,7,9,3,0,8,11,10,11,14,11,9,13,13,12,0,10,7,7,9,0,5,8,15,12
vessel 26,0,6,2,1,17,7,3,3,14,1,4,10,7,13,2,13,14,2,4,9,8,15,7,11,9,15,0,14,8,15
vessel 27,0,7,14,13,6,5,2,14,2,2,6,8,6,8,8,3,14,7,11,3,16,6,6,6,6,11,7,0,12,4
vessel 28,13,13,8,9,4,8,12,6,15,13,14,13,17,12,6,6,1,10,11,7,14,3,11,5,7,14,15,11,0,12
vessel 29,7,4,10,16,7,10,17,6,13,1,4,15,9,8,7,10,7,8,12,10,14,12,14,11,12,5,15,2,2,0
