,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,8,12,5,3,11,12,9,13,4,5,9,12,9,9,18,12,2,0,10,9,15,2,12,11,3,8,6,14,1
vessel 1,3,0,10,9,12,13,7,13,12,8,11,7,10,5,14,6,8,14,12,0,8,3,2,2,6,8,13,6,15,12
vessel 2,4,9,0,5,2,5,1,3,11,5,2,10,0,15,11,15,4,0,1,12,9,4,11,10,4,4,0,11,3,14
vessel 3,7,11,3,0,0,16,6,3,4,16,11,7,2,4,1,4,1,9,11,4,9,11,4,6,6,5,11,2,10,8
vessel 4,7,7,8,7,0,2,14,12,14,12,10,11,13,8,3,7,5,4,8,13,8,7,4,2,1,9,3,3,12,14
vessel 5,9,10,9,7,8,0,14,10,9,3,4,3,13,10,9,12,2,14,0,5,9,8,10,3,8,6,13,5,5,9
vessel 6,15,11,6,10,7,5,0,10,10,4,9,14,13,12,13,3,1,13,11,4,3,6,9,2,4,2,11,5,12,15
vessel 7,7,7,2,4,7,13,4,0,1,13,14,13,7,2,2,12,7,13,15,13,5,8,4,3,8,4,8,9,3,14
vessel 8,6,3,7,13,9,6,12,7,0,14,3,13,12,3,9,15,14,6,14,5,12,9,6,18,9,2,1,3,3,3
vessel 9,5,12,10,10,2,9,11,10,5,0,8,4,11,14,6,11,5,12,4,14,12,12,3,9,6,15,4,4,11,0
vessel 10,5,6,12,7,5,2,13,8,8,13,0,6,5,16,11,12,2,11,4,4,12,10,4,9,7,4,8,3,0,14
vessel 11,13,10,1,8,7,4,0,15,3,1,5,0,16,8,4,10,7,11,2,10,10,10,4,3,1,2,13,7,12,10
vessel 12,9,8,11,11,11,12,12,8,1,7,3,0,0,12,12,7,1,6,4,1,12,10,9,8,3,12,8,2,8,9
vessel 13,6,3,12,2,8,4,1,0,0,4,9,0,6,0,15,12,16,8,16,10,9,1,4,10,3,13,4,9,10,15
vessel 14,15,7,3,11,11,8,3,5,5,7,7,14,12,1,0,14,2,14,15,7,8,9,3,15,12,5,11,5,2,12
vessel 15,5,13,6,11,9,11,6,16,10,10,2,1,11,12,14,0,14,0,0,3,5,10,8,12,11,16,4,14,13,11
vessel 16,7,6,12,4,18,4,11,11,8,5,13,12,5,12,5,12,0,9,16,8,3,10,11,10,12,12,4,16,7,9
vessel 17,6,12,2,17,10,5,6,5,9,15,12,13,8,5,11,6,3,0,11,1,5,3,2,2,7,15,8,9,9,1
vessel 18,14,7,13,4,10,4,7,9,8,4,13,4,14,1,13,12,14,10,0,6,4,8,16,11,5,2,8,7,13,5
vessel 19,6,9,4,9,5,2,8,4,13,7,9,14,7,13,1,7,5,5,3,0,4,10,9,0,12,11,12,3,7,15
vessel 20,8,6,3,13,9,0,10,8,7,14,0,12,0,7,1,5,16,7,4,2,0,3,5,5,19,5,9,11,17,2
vessel 21,14,6,8,10,3,6,12,7,10,1,14,12,15,5,1,5,9,10,4,8,7,0,6,14,14,9,10,13,1,5
vessel 22,9,8,16,10,5,6,11,8,1,5,14,10,5,11,11,5,1,3,10,14,8,6,0,6,12,9,0,5,3,7
vessel 23,8,0,14,4,13,3,7,1,14,7,3,9,9,15,7,5,4,10,15,14,7,13,6,0,12,6,16,7,15,12
vessel 24,0,11,2,5,18,6,7,6,9,9,5,15,13,14,7,6,3,3,7,1,11,13,8,4,0,11,8,7,10,4
vessel 25,13,3,8,9,7,7,8,9,4,3,8,11,11,10,12,11,8,11,11,12,0,13,7,7,8,0,6,7,14,14
vessel 26,0,6,3,1,13,6,2,3,14,3,3,10,8,12,3,12,12,4,6,8,8,14,9,11,9,13,0,10,6,13
vessel 27,0,7,15,11,5,5,0,14,3,4,6,8,7,3,8,1,13,8,12,4,16,5,5,8,5,11,6,0,11,4
vessel 28,13,14,4,9,4,8,11,4,16,14,12,14,16,11,6,4,1,8,11,7,14,4,13,3,3,12,12,11,0,15
vessel 29,7,4,8,14,8,8,15,7,17,0,4,15,10,8,7,10,6,7,12,10,15,12,14,11,12,4,14,2,1,0
