,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,13,4,5,9,11,11,13,6,5,9,14,8,8,16,15,1,1,12,10,15,3,11,12,6,9,6,12,1
vessel 1,3,0,11,10,13,9,6,15,12,9,11,7,11,5,16,8,8,14,14,1,9,5,0,0,5,9,11,7,13,12
vessel 2,3,9,0,5,3,5,1,3,11,5,3,11,0,16,10,14,3,0,1,13,12,5,12,10,4,6,1,9,4,15
vessel 3,6,11,3,0,1,14,6,4,1,15,14,9,0,5,3,5,1,9,11,3,10,11,3,8,9,7,12,2,10,10
vessel 4,7,7,9,7,0,1,13,13,17,11,10,11,16,9,5,6,4,5,10,13,9,4,4,3,1,11,4,2,12,12
vessel 5,12,10,9,10,8,0,19,12,6,2,4,1,15,10,12,13,2,14,1,7,11,7,13,3,7,5,14,7,6,11
vessel 6,15,11,8,11,6,5,0,10,12,5,7,16,13,11,13,3,6,16,9,5,5,4,11,2,4,3,11,5,14,14
vessel 7,8,6,0,4,10,11,7,0,2,11,14,13,7,3,4,16,7,16,15,14,6,8,8,3,8,4,7,10,2,15
vessel 8,6,3,9,13,8,5,13,8,0,18,5,14,13,2,10,15,18,6,14,4,12,9,7,15,8,3,1,0,5,3
vessel 9,7,13,11,11,2,11,14,10,6,0,8,6,8,13,8,10,7,13,3,15,13,11,4,10,6,12,4,4,9,1
vessel 10,6,7,9,7,3,5,9,7,7,12,0,5,6,15,11,14,2,9,5,4,11,10,4,12,8,6,10,1,1,15
vessel 11,12,10,1,8,10,5,0,13,2,0,8,0,16,8,5,11,5,11,2,10,10,9,4,5,2,4,13,7,11,10
vessel 12,11,4,11,11,10,10,11,7,2,11,2,1,0,13,9,7,1,6,4,0,12,11,10,6,4,11,7,2,6,11
vessel 13,8,2,13,3,7,6,2,0,1,4,9,4,7,0,15,11,18,9,15,13,8,4,3,9,4,14,6,8,11,13
vessel 14,14,11,3,11,13,8,3,6,9,8,6,12,14,3,0,15,0,14,16,9,8,8,3,16,13,5,10,6,3,10
vessel 15,4,15,6,12,9,10,6,14,11,10,2,2,12,12,13,0,12,2,1,1,5,10,8,12,12,16,5,14,12,10
vessel 16,9,9,13,3,15,5,13,12,6,5,15,13,6,12,5,12,0,9,13,9,6,12,12,10,11,14,3,14,8,9
vessel 17,7,12,2,15,10,5,7,7,7,18,15,12,11,6,12,9,2,0,9,1,7,2,5,2,5,15,9,11,8,1
vessel 18,15,8,13,4,7,2,6,11,11,3,11,6,14,2,13,12,16,10,0,6,3,9,16,11,1,3,9,5,14,6
vessel 19,7,10,4,9,5,1,11,3,14,8,10,15,8,11,0,7,6,6,4,0,3,11,11,0,12,11,14,5,6,14
vessel 20,8,6,3,13,8,0,7,9,9,14,2,14,2,6,2,3,15,8,4,4,0,7,5,7,16,6,10,12,16,2
vessel 21,16,3,15,10,1,7,12,8,13,2,12,12,16,3,1,4,9,9,6,9,7,0,9,12,13,10,9,14,0,6
vessel 22,8,10,13,11,4,10,12,8,3,4,13,7,8,14,13,5,1,4,8,16,6,6,0,8,12,9,1,6,2,7
vessel 23,8,1,19,5,14,3,8,0,13,6,2,8,12,17,10,5,1,9,18,14,9,13,7,0,17,5,13,7,13,12
vessel 24,0,7,3,8,14,5,7,6,9,10,8,16,14,12,8,5,7,5,5,2,10,13,10,8,0,14,8,7,10,8
vessel 25,15,4,11,7,8,7,7,12,2,2,9,11,10,10,11,12,9,12,12,11,3,12,7,6,8,0,6,5,18,13
vessel 26,2,6,4,1,14,7,4,4,16,4,3,11,8,13,2,11,15,2,4,8,7,13,8,12,7,13,0,11,6,14
vessel 27,0,8,17,12,8,7,1,17,4,4,7,7,5,5,9,2,14,9,14,4,15,6,4,6,5,12,7,0,12,5
vessel 28,15,13,5,12,4,8,12,3,14,16,12,14,15,12,6,5,1,9,12,6,16,5,14,3,4,14,12,10,0,14
vessel 29,8,5,10,15,7,8,14,6,17,1,3,15,9,6,9,10,6,7,14,10,14,12,14,12,13,7,16,1,2,0
