,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,14,6,4,10,11,12,13,4,3,11,11,9,8,15,13,4,0,11,9,15,2,9,13,6,11,5,13,1
vessel 1,3,0,9,7,14,11,11,13,12,8,10,9,11,6,14,7,9,14,13,0,8,3,1,1,4,10,17,7,13,11
vessel 2,4,8,0,5,1,3,2,3,11,3,4,8,3,16,11,14,4,0,1,12,11,4,12,9,6,5,1,9,6,14
vessel 3,7,12,3,0,0,15,8,5,2,14,14,10,0,7,2,7,2,8,12,2,11,12,5,7,10,7,9,1,9,11
vessel 4,8,9,7,9,0,0,14,14,17,9,13,11,16,10,6,6,4,4,7,12,8,4,5,2,2,11,4,4,12,17
vessel 5,9,14,10,9,7,0,13,11,8,4,4,2,15,12,12,12,2,13,0,7,10,8,9,6,6,7,13,6,5,10
vessel 6,14,12,6,12,5,5,0,12,13,4,7,16,15,11,15,4,2,13,11,7,4,5,12,3,4,2,10,5,13,14
vessel 7,8,8,3,7,8,9,4,0,4,12,14,13,7,3,2,16,8,14,16,14,7,8,5,3,10,4,9,7,5,13
vessel 8,6,3,9,14,9,6,12,7,0,15,3,15,13,2,10,18,14,5,14,2,11,10,6,14,8,3,2,0,3,3
vessel 9,5,12,11,11,0,8,11,10,8,0,10,6,10,15,6,11,6,13,4,13,12,14,3,11,9,11,6,3,11,1
vessel 10,7,7,10,9,6,3,11,6,8,13,0,5,5,17,12,16,3,13,6,3,13,10,5,10,9,5,9,2,1,18
vessel 11,12,11,2,9,7,4,1,13,2,0,7,0,16,8,8,10,4,11,0,12,12,11,5,2,1,4,14,5,13,10
vessel 12,10,4,11,11,14,10,12,11,3,7,1,0,0,13,9,9,3,7,5,1,12,14,11,5,3,13,7,1,9,9
vessel 13,8,5,13,1,9,7,1,2,0,4,10,1,7,0,17,13,15,9,17,11,9,1,5,11,5,14,5,7,13,13
vessel 14,15,6,7,12,12,7,5,5,8,7,9,14,14,1,0,17,1,13,14,7,8,7,3,15,12,6,13,5,1,12
vessel 15,7,13,7,12,9,13,7,15,14,9,2,1,11,11,15,0,12,0,1,5,7,12,9,14,12,14,6,14,11,11
vessel 16,9,9,12,3,16,4,12,11,7,7,14,14,3,14,3,13,0,11,15,8,3,12,11,9,11,15,3,15,8,7
vessel 17,10,13,2,14,10,6,8,5,10,14,12,13,10,5,13,7,3,0,10,0,4,1,2,1,8,17,8,8,10,3
vessel 18,15,9,13,5,9,4,9,15,7,4,12,7,13,2,12,12,16,9,0,8,5,11,14,10,2,2,9,5,14,5
vessel 19,7,9,4,10,3,2,10,4,13,7,9,16,9,11,1,11,6,5,4,0,2,14,10,2,14,11,14,4,8,14
vessel 20,8,7,3,12,10,2,10,10,7,14,0,12,1,6,0,5,17,7,3,4,0,3,3,5,15,7,10,11,15,2
vessel 21,14,4,11,12,3,7,13,8,11,1,11,11,14,3,2,5,9,10,6,10,7,0,7,15,12,9,9,13,0,9
vessel 22,9,10,13,10,4,8,13,9,6,4,14,7,10,12,12,4,1,3,11,15,5,7,0,5,12,9,2,5,2,7
vessel 23,8,1,16,5,14,3,10,1,14,6,2,11,10,14,9,5,3,9,16,13,8,12,8,0,15,7,15,6,14,13
vessel 24,1,9,2,6,15,7,9,6,11,10,5,16,12,13,8,4,3,4,7,7,12,13,7,5,0,13,6,10,10,5
vessel 25,13,5,12,8,6,8,11,9,2,1,8,12,11,11,13,11,9,12,14,12,2,10,8,7,9,0,5,5,14,13
vessel 26,0,7,5,2,14,6,2,7,15,3,3,11,6,16,1,12,12,5,5,10,8,15,9,13,8,15,0,10,6,14
vessel 27,1,8,15,11,7,5,0,15,4,4,5,10,6,4,11,1,13,8,15,7,15,6,4,9,7,12,7,0,13,4
vessel 28,13,15,5,9,3,9,12,4,16,16,12,12,19,13,6,6,1,9,11,6,14,5,13,4,3,12,16,10,0,15
vessel 29,6,6,10,14,6,9,17,6,14,0,4,16,8,6,7,10,6,6,13,9,14,14,16,13,14,4,16,3,1,0
