,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,11,12,5,6,9,12,11,13,8,4,10,13,8,7,15,13,2,0,11,9,14,3,12,11,5,7,6,14,2
vessel 1,4,0,9,12,12,10,8,14,12,9,10,9,12,5,14,6,9,15,13,2,9,5,2,1,5,9,12,8,15,11
vessel 2,3,9,0,6,2,4,3,9,10,3,4,9,0,15,11,15,3,2,1,13,9,5,12,7,5,5,0,10,6,14
vessel 3,7,12,4,0,2,16,5,6,1,15,13,6,0,5,3,6,1,9,10,2,12,12,4,7,7,7,10,2,8,10
vessel 4,6,7,10,8,0,0,14,14,15,10,10,12,14,9,4,7,4,6,9,15,8,5,5,2,2,10,4,3,11,12
vessel 5,10,12,9,9,6,0,15,13,6,5,4,3,15,12,10,12,2,12,0,7,10,9,12,3,7,5,13,8,6,11
vessel 6,15,10,7,12,6,5,0,9,9,4,7,14,14,12,16,3,3,13,10,6,4,4,11,2,7,4,10,7,12,13
vessel 7,7,7,0,4,8,11,5,0,0,13,14,13,8,3,3,13,7,13,14,16,6,10,5,3,8,4,6,10,2,14
vessel 8,5,5,9,15,9,7,13,6,0,16,6,13,15,2,8,14,16,5,15,4,12,9,7,15,10,2,2,0,4,3
vessel 9,5,13,11,10,2,8,13,11,6,0,10,5,8,14,6,11,5,16,1,14,13,10,3,8,6,11,4,4,9,0
vessel 10,7,7,11,8,3,3,10,8,9,13,0,5,4,14,11,12,2,9,5,4,11,11,4,11,7,4,9,1,2,15
vessel 11,11,11,1,11,7,3,2,14,2,1,4,0,14,9,5,10,5,10,2,11,12,9,3,1,0,4,14,5,14,9
vessel 12,12,7,12,12,10,10,10,6,2,7,3,2,0,11,10,9,3,6,4,0,13,11,9,5,4,12,9,1,8,9
vessel 13,7,2,13,3,7,6,3,1,1,3,11,2,8,0,16,11,15,8,14,11,10,4,5,10,6,15,6,7,13,14
vessel 14,14,6,3,13,13,8,3,6,5,8,5,14,13,1,0,15,3,15,15,8,8,7,6,15,11,6,12,7,2,11
vessel 15,7,12,7,12,8,11,8,13,9,9,5,2,11,13,17,0,11,1,0,1,4,10,8,14,11,13,5,15,10,10
vessel 16,7,9,12,6,17,7,13,11,6,6,13,15,3,12,3,12,0,10,13,10,3,11,12,8,10,15,3,13,7,9
vessel 17,7,11,1,14,12,7,8,5,12,16,12,15,12,4,12,8,3,0,11,1,6,3,2,1,6,15,10,7,8,2
vessel 18,15,8,14,4,7,5,8,11,5,7,11,6,16,0,13,13,16,9,0,8,3,9,15,9,3,2,9,5,16,7
vessel 19,6,10,2,11,4,4,8,3,14,7,10,12,8,11,0,7,5,6,3,0,3,10,10,1,13,12,12,5,6,15
vessel 20,7,7,5,14,7,1,12,10,8,13,1,12,1,6,2,2,13,10,3,5,0,3,4,5,15,5,9,11,16,3
vessel 21,15,3,10,11,1,7,13,8,11,2,11,11,14,4,2,6,10,10,3,8,9,0,10,14,12,10,10,14,0,6
vessel 22,8,8,14,9,5,6,13,11,2,3,14,8,7,16,10,5,0,5,12,14,6,5,0,5,12,8,1,8,5,8
vessel 23,8,2,14,6,13,4,8,1,16,6,1,10,10,16,7,3,3,8,16,13,9,12,8,0,15,6,14,10,12,12
vessel 24,1,8,2,6,14,6,6,9,12,9,7,19,13,15,8,4,3,5,7,5,13,12,7,5,0,13,8,8,9,5
vessel 25,15,3,9,7,8,7,7,11,2,2,8,12,12,11,12,12,11,10,12,12,0,12,6,8,9,0,5,6,15,12
vessel 26,2,6,4,2,17,6,4,3,15,3,5,11,6,13,3,12,14,2,5,9,9,12,8,11,7,14,0,12,5,14
vessel 27,0,7,14,10,6,6,1,12,2,5,6,8,7,3,8,4,13,8,14,3,15,5,4,9,6,11,9,0,13,5
vessel 28,16,12,7,9,9,10,11,4,15,13,14,14,16,13,7,5,2,8,12,8,14,4,14,5,4,12,15,11,0,12
vessel 29,8,6,8,14,10,9,15,5,14,2,5,14,9,8,6,11,6,7,11,11,16,12,16,11,12,5,16,2,3,0
