,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,12,6,3,9,11,10,14,5,7,9,12,9,7,14,12,1,4,11,9,15,2,10,13,3,8,7,12,3
vessel 1,2,0,8,9,12,10,7,12,12,9,12,9,11,6,13,9,8,15,12,1,8,5,1,1,5,8,14,6,11,10
vessel 2,4,10,0,7,2,3,1,5,11,3,3,9,2,14,9,18,5,2,3,12,11,3,12,10,4,4,3,12,5,15
vessel 3,5,12,5,0,1,15,6,3,1,14,12,8,1,4,2,5,1,9,11,4,10,10,4,6,8,5,10,3,10,9
vessel 4,7,8,7,7,0,1,12,12,13,10,11,12,14,9,6,6,5,4,8,11,7,6,4,4,2,15,3,2,14,11
vessel 5,10,10,11,7,6,0,14,10,6,0,5,1,14,12,11,14,1,14,1,7,11,8,11,4,6,7,14,5,3,10
vessel 6,15,10,7,12,7,7,0,9,10,4,7,14,13,12,14,3,1,13,8,6,3,5,10,1,1,3,13,9,12,14
vessel 7,7,7,1,3,7,11,6,0,0,12,15,15,6,4,2,13,9,12,15,15,5,10,4,3,10,4,7,9,2,14
vessel 8,6,4,10,14,8,6,13,7,0,15,6,15,12,2,8,15,17,4,14,4,11,6,7,14,8,2,1,1,7,2
vessel 9,7,12,9,9,1,10,12,10,6,0,8,4,8,13,6,12,4,12,2,15,13,11,3,10,7,11,3,4,10,0
vessel 10,6,6,10,8,4,4,9,8,8,15,0,5,5,15,11,11,2,10,4,3,12,10,4,11,9,4,8,2,2,15
vessel 11,12,12,1,8,6,3,0,14,2,2,7,0,17,9,5,9,8,12,3,12,12,11,3,1,0,2,12,6,14,9
vessel 12,9,4,13,11,10,12,10,8,2,8,0,0,0,14,8,7,2,6,4,1,13,9,10,8,5,14,6,0,6,10
vessel 13,6,4,13,2,8,5,3,2,0,2,10,2,7,0,16,11,15,9,15,11,9,2,4,10,3,14,4,7,11,13
vessel 14,13,8,3,13,11,7,4,5,5,7,6,14,11,1,0,14,2,13,16,8,7,7,4,15,12,5,12,6,2,11
vessel 15,5,13,8,12,7,10,5,15,10,10,4,3,11,12,13,0,12,1,2,2,5,11,9,12,11,13,4,13,11,10
vessel 16,7,9,13,4,16,6,12,9,7,5,13,13,4,14,7,13,0,10,15,10,3,11,11,10,10,12,4,14,8,9
vessel 17,7,11,2,16,11,6,8,8,9,14,14,13,11,4,13,6,3,0,11,1,6,2,3,1,7,15,8,7,8,3
vessel 18,14,7,15,5,9,4,6,11,6,4,12,6,13,1,11,11,16,9,0,7,2,8,14,10,1,3,10,4,16,6
vessel 19,7,10,3,11,3,1,10,4,13,7,9,13,8,15,1,7,5,6,3,0,3,11,9,1,13,12,12,3,8,12
vessel 20,8,4,5,13,9,0,10,8,7,12,1,13,1,5,2,2,13,10,5,4,0,4,4,7,17,7,10,11,16,3
vessel 21,15,3,11,11,5,6,14,10,11,0,10,13,14,5,2,6,9,14,4,9,7,0,7,12,12,7,9,14,0,6
vessel 22,8,8,15,11,4,8,12,10,2,4,14,9,6,13,11,3,0,3,11,17,6,6,0,6,12,9,0,5,2,7
vessel 23,8,3,14,6,13,3,7,1,13,5,2,12,9,17,7,5,1,10,15,11,9,13,7,0,16,5,15,6,13,11
vessel 24,0,8,3,6,14,7,6,8,8,9,5,16,12,15,7,7,4,3,6,1,11,14,9,5,0,12,7,8,11,5
vessel 25,13,4,10,8,8,6,8,10,2,2,8,10,11,11,12,12,8,14,12,11,0,12,6,7,7,0,7,6,16,13
vessel 26,2,8,3,0,13,8,4,4,13,4,4,11,8,12,1,11,12,2,5,8,8,13,8,11,7,13,0,10,6,14
vessel 27,1,8,16,12,6,8,1,12,2,4,6,8,5,4,9,2,13,7,12,5,14,7,3,6,6,12,6,0,12,5
vessel 28,13,12,4,9,2,8,12,3,16,13,14,12,14,11,6,5,3,10,14,5,16,4,12,5,4,11,12,11,0,12
vessel 29,7,4,9,14,7,10,15,5,15,1,4,15,8,6,6,10,5,6,13,10,15,15,14,13,13,4,16,2,0,0
