,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,9,12,9,5,10,11,10,16,5,6,7,13,9,7,18,13,2,2,11,11,13,4,10,14,3,7,6,12,1
vessel 1,2,0,11,11,13,9,7,13,13,12,14,11,12,6,14,8,11,15,13,2,11,4,1,0,6,11,11,8,15,11
vessel 2,3,9,0,7,2,4,3,5,10,3,3,11,2,15,12,17,4,4,2,13,11,4,12,8,7,6,0,9,8,15
vessel 3,7,15,4,0,1,15,6,4,1,14,12,7,1,8,0,5,0,8,10,3,10,11,3,7,6,6,9,1,13,8
vessel 4,8,6,8,7,0,1,12,14,16,10,11,12,12,10,3,7,5,6,7,13,9,5,6,4,4,10,5,3,11,11
vessel 5,11,12,13,9,7,0,15,12,7,2,4,3,15,10,9,14,1,12,3,6,10,8,10,4,6,6,14,8,6,10
vessel 6,16,12,9,10,7,5,0,9,9,3,7,15,13,13,14,5,1,14,8,6,5,5,9,3,4,2,9,7,14,12
vessel 7,9,6,3,3,8,9,4,0,1,11,14,15,7,4,2,12,7,11,14,13,7,8,4,4,9,4,7,11,2,14
vessel 8,7,3,8,13,10,5,13,7,0,17,4,14,14,5,8,16,15,4,15,3,11,9,6,15,9,3,1,0,2,2
vessel 9,7,12,11,11,0,9,11,12,7,0,9,7,8,14,6,12,5,12,2,15,14,12,3,11,8,12,4,5,10,2
vessel 10,5,7,10,8,5,5,11,7,8,12,0,5,7,15,12,15,4,9,5,2,13,11,6,10,9,5,9,1,0,15
vessel 11,12,11,2,12,8,4,0,14,3,2,4,0,14,8,4,11,7,13,3,12,12,10,2,3,0,2,14,7,12,11
vessel 12,11,5,12,10,10,12,12,11,2,10,1,0,0,14,8,7,3,5,5,0,13,12,10,6,6,13,7,0,9,9
vessel 13,8,3,14,3,7,4,2,1,1,2,9,2,6,0,14,11,14,9,15,11,10,2,4,10,5,13,3,7,10,13
vessel 14,16,7,3,13,12,10,5,5,5,8,5,14,12,1,0,15,1,15,16,7,8,8,4,15,14,6,12,6,2,11
vessel 15,6,15,9,11,7,10,5,14,10,11,4,4,12,12,14,0,13,2,1,2,6,12,10,12,12,14,4,14,11,12
vessel 16,7,6,13,7,14,5,14,14,8,6,15,15,5,12,4,14,0,10,15,10,4,10,12,9,10,12,6,14,9,10
vessel 17,7,12,5,14,9,6,5,5,7,13,17,13,12,4,11,7,2,0,10,0,5,1,1,1,7,18,12,10,10,5
vessel 18,16,8,13,5,9,4,7,10,7,3,12,3,16,2,14,12,15,13,0,7,3,9,14,10,1,6,9,4,17,5
vessel 19,9,9,2,11,4,4,8,3,13,8,11,15,8,14,3,8,8,6,4,0,3,10,10,1,14,15,13,5,6,16
vessel 20,9,7,4,12,7,1,10,9,8,13,1,13,2,6,3,4,14,7,5,4,0,4,6,6,16,8,10,12,14,2
vessel 21,16,6,10,13,2,9,12,8,14,3,10,14,16,4,1,5,9,12,3,11,10,0,8,16,13,10,11,16,2,5
vessel 22,10,9,13,9,6,10,11,8,2,3,14,8,7,12,13,5,2,4,8,16,8,7,0,4,12,10,1,5,5,8
vessel 23,7,2,16,5,16,3,7,0,15,5,1,10,10,15,7,3,3,8,17,14,7,13,8,0,14,5,16,7,11,11
vessel 24,1,10,3,7,14,6,7,7,8,9,6,14,12,16,7,4,8,4,6,2,10,14,12,5,0,14,8,7,11,5
vessel 25,15,4,10,9,7,6,7,12,3,1,9,11,12,12,14,13,8,12,11,11,3,12,7,6,7,0,9,6,15,13
vessel 26,0,8,4,3,15,9,3,4,15,4,3,10,10,13,2,11,13,2,8,8,10,14,8,11,8,14,0,12,6,14
vessel 27,3,7,14,10,6,7,1,14,1,3,7,8,6,3,9,3,15,7,12,5,15,5,4,7,7,12,8,0,13,5
vessel 28,13,14,6,10,4,11,13,6,14,14,15,14,15,13,6,4,4,9,12,7,15,6,12,6,5,11,13,11,0,13
vessel 29,8,6,10,14,7,9,15,6,15,0,6,15,8,8,5,10,6,11,12,11,14,11,15,11,13,8,15,3,0,0
