,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,12,5,3,9,12,9,14,5,3,11,13,8,10,14,12,4,1,11,9,16,4,13,9,3,10,5,14,1
vessel 1,2,0,10,10,10,10,7,13,14,8,10,7,12,7,17,8,11,17,16,2,9,4,1,3,6,10,12,9,15,12
vessel 2,3,9,0,6,1,4,3,4,10,4,3,10,1,16,11,15,3,0,4,12,12,3,11,7,5,5,1,14,5,15
vessel 3,5,12,3,0,2,16,6,3,3,14,11,6,0,5,1,4,1,8,10,2,9,12,5,6,6,10,10,0,10,9
vessel 4,5,6,9,8,0,1,12,12,16,12,10,11,12,8,4,7,7,5,10,12,7,5,4,3,2,9,4,5,13,12
vessel 5,10,9,9,7,6,0,11,10,6,5,4,1,15,10,10,13,1,14,0,6,12,7,10,3,6,6,13,6,7,9
vessel 6,15,11,7,11,5,5,0,9,9,4,6,16,13,12,14,2,2,16,8,7,3,5,11,1,5,3,9,7,13,14
vessel 7,11,6,1,3,7,9,5,0,1,11,14,12,7,2,2,13,5,12,14,13,7,9,5,4,8,4,7,10,3,15
vessel 8,7,4,8,13,10,5,15,7,0,16,3,14,15,2,9,14,15,7,16,1,11,10,7,16,11,3,3,2,2,3
vessel 9,5,12,9,12,1,8,11,13,5,0,7,4,8,15,5,11,5,13,1,13,13,11,4,11,7,11,5,3,9,1
vessel 10,6,7,10,7,3,3,9,8,8,13,0,5,5,15,11,13,3,9,6,3,12,12,4,9,7,5,10,4,0,16
vessel 11,12,15,1,11,6,6,3,14,3,1,4,0,14,9,5,11,4,14,2,14,12,10,4,3,2,3,14,6,12,8
vessel 12,10,3,12,11,11,10,10,7,3,7,0,0,0,13,8,7,1,5,7,0,13,9,9,6,3,11,8,0,7,10
vessel 13,6,2,13,2,7,6,3,0,1,6,8,1,8,0,15,12,16,8,16,11,8,1,3,9,4,17,4,7,12,12
vessel 14,14,7,3,13,12,7,2,6,7,7,5,15,14,0,0,14,0,15,16,7,8,9,2,15,13,5,10,6,3,14
vessel 15,5,12,6,11,8,11,6,14,9,12,2,1,13,12,14,0,13,2,1,5,5,12,8,14,12,13,4,13,11,10
vessel 16,6,6,14,5,14,5,11,15,5,6,14,12,3,13,5,12,0,11,14,9,4,11,13,10,12,13,3,13,8,7
vessel 17,7,14,1,14,11,5,7,6,9,14,13,15,11,4,12,10,4,0,11,0,4,2,2,1,7,14,10,7,9,1
vessel 18,16,7,13,4,10,3,7,10,6,5,11,6,14,2,11,12,15,10,0,6,3,8,17,11,3,4,8,5,13,5
vessel 19,6,9,3,11,3,3,11,2,14,8,12,13,8,13,0,9,8,6,4,0,0,11,12,3,14,13,12,4,6,16
vessel 20,7,6,5,11,8,2,10,9,8,13,0,12,1,5,0,2,13,9,3,5,0,4,4,5,16,7,9,13,18,0
vessel 21,15,5,12,12,4,8,12,8,10,2,12,12,16,3,3,5,10,10,4,9,7,0,9,15,14,10,10,16,1,5
vessel 22,9,9,13,11,4,7,12,9,3,4,16,9,6,11,10,3,2,4,11,15,6,7,0,3,12,8,1,5,4,7
vessel 23,7,1,14,4,14,4,7,2,15,6,2,10,9,16,12,5,3,8,15,14,9,14,8,0,15,6,16,7,11,13
vessel 24,1,7,3,6,15,7,6,6,10,12,5,15,15,12,7,5,3,4,7,3,10,14,9,4,0,13,7,7,9,5
vessel 25,13,4,11,7,6,9,7,9,2,1,9,12,10,10,11,11,10,12,14,11,3,9,8,6,9,0,6,6,14,14
vessel 26,2,6,4,1,13,7,5,3,17,3,3,9,6,14,1,13,12,3,4,9,8,12,7,11,7,15,0,11,5,15
vessel 27,0,7,13,10,6,6,1,12,2,5,6,7,6,4,8,4,13,9,15,3,14,5,6,7,5,12,6,0,11,5
vessel 28,15,17,6,10,4,9,13,4,14,14,12,13,14,12,6,4,1,10,13,6,16,4,15,4,4,11,13,10,0,12
vessel 29,7,7,9,15,7,9,15,5,13,1,3,15,10,6,6,9,6,8,13,10,14,15,15,11,15,4,14,2,0,0
