,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,9,16,5,3,9,14,10,15,5,3,12,13,8,6,16,13,3,0,11,12,15,2,13,11,3,9,8,12,1
vessel 1,3,0,8,10,12,10,9,14,13,9,12,9,12,5,15,7,9,16,13,3,10,4,1,4,5,8,12,6,15,11
vessel 2,3,8,0,6,3,4,2,3,10,3,5,9,0,14,9,14,4,2,0,12,9,4,9,8,7,4,2,11,7,14
vessel 3,5,11,3,0,1,14,6,4,1,17,11,6,4,6,1,4,2,8,11,2,10,11,4,9,7,7,10,1,10,9
vessel 4,7,8,10,7,0,2,12,12,17,10,12,14,13,8,4,7,5,5,8,13,7,4,4,2,3,9,3,3,12,11
vessel 5,10,13,10,9,9,0,13,14,7,5,4,1,13,12,10,14,2,13,2,6,10,7,11,5,8,5,18,5,7,9
vessel 6,14,10,7,12,7,5,0,8,10,6,6,15,13,12,16,4,3,14,10,4,4,5,11,2,3,8,9,5,11,14
vessel 7,9,7,2,3,7,13,5,0,4,11,15,13,7,2,3,12,7,15,16,13,7,9,6,5,11,5,7,9,2,15
vessel 8,7,4,11,15,9,5,12,6,0,15,4,15,14,4,9,15,14,7,16,1,11,8,6,15,9,3,3,3,2,2
vessel 9,6,14,11,10,2,11,12,12,7,0,7,4,10,13,8,10,6,13,2,14,12,12,4,8,9,13,3,5,10,1
vessel 10,7,6,11,7,3,3,11,10,9,12,0,5,5,15,12,15,5,10,6,5,12,13,3,10,7,2,9,1,1,14
vessel 11,12,12,1,8,7,3,2,14,2,1,5,0,15,8,6,13,4,11,3,13,11,11,3,2,0,3,13,7,12,11
vessel 12,10,3,12,11,10,10,10,8,3,9,2,1,0,12,12,7,1,8,5,1,14,11,9,7,2,11,7,0,6,10
vessel 13,7,3,14,1,8,7,1,0,1,4,10,0,7,0,16,13,18,8,15,13,9,3,5,12,5,18,5,9,11,13
vessel 14,13,10,5,12,12,7,4,4,5,9,4,14,10,2,0,15,1,13,15,10,9,7,4,18,13,9,10,5,1,11
vessel 15,5,10,6,11,8,12,6,13,9,12,2,3,12,12,17,0,11,1,1,4,5,11,8,15,12,14,8,13,10,13
vessel 16,10,6,12,5,15,4,12,11,6,8,15,12,3,12,7,12,0,9,15,9,4,11,12,10,13,14,3,13,8,7
vessel 17,7,11,3,14,10,5,6,8,9,14,13,15,14,6,12,5,2,0,10,2,6,4,3,2,8,15,9,8,9,3
vessel 18,15,9,15,8,8,5,6,9,6,4,11,6,13,0,13,12,15,10,0,7,2,8,18,11,3,4,9,5,15,6
vessel 19,7,9,2,11,5,2,8,3,15,8,11,13,8,12,3,7,5,7,5,0,1,11,10,1,12,13,12,4,7,15
vessel 20,8,6,5,12,8,0,11,8,9,16,3,12,1,5,0,5,13,7,5,4,0,4,5,6,15,7,9,11,14,4
vessel 21,14,3,11,14,1,6,13,9,11,1,12,12,14,4,3,7,12,13,4,9,9,0,7,13,13,9,11,17,1,6
vessel 22,9,10,15,9,4,7,11,9,3,5,14,9,7,13,10,4,1,4,8,15,5,8,0,7,12,10,3,6,3,8
vessel 23,9,1,13,6,12,3,8,2,13,5,2,12,9,14,7,4,1,10,17,12,8,15,8,0,14,4,16,7,13,12
vessel 24,0,8,2,6,14,7,6,7,8,10,8,15,13,12,8,5,4,3,10,3,11,12,7,6,0,12,9,9,9,6
vessel 25,14,3,8,7,7,7,6,12,2,2,8,13,10,11,11,11,8,11,11,12,1,11,6,6,7,0,7,6,14,13
vessel 26,1,8,5,1,15,8,3,5,15,3,3,9,7,12,1,16,12,4,4,8,9,12,9,10,7,14,0,10,5,14
vessel 27,0,7,15,12,5,6,0,15,1,4,7,7,6,3,11,2,14,8,11,5,16,5,4,11,5,13,7,0,11,5
vessel 28,13,12,4,9,4,12,12,4,15,14,15,13,15,12,7,5,1,10,11,5,15,4,12,4,3,12,10,11,0,12
vessel 29,6,6,8,15,8,10,14,6,14,0,4,14,7,10,7,9,6,6,13,10,13,12,15,13,13,4,16,2,1,0
