,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,9,13,6,4,11,11,12,14,8,5,10,12,9,7,16,16,3,1,10,10,13,4,11,12,4,9,4,12,1
vessel 1,4,0,11,9,13,10,6,14,13,8,10,9,13,5,17,6,8,15,13,1,12,4,1,3,5,9,11,8,13,12
vessel 2,3,12,0,8,1,3,2,4,11,3,2,9,0,15,10,15,5,0,0,12,11,4,12,9,5,3,0,10,4,14
vessel 3,6,13,5,0,0,14,6,4,2,17,12,7,1,5,2,4,0,10,10,3,10,9,3,10,9,6,11,2,11,9
vessel 4,6,6,8,11,0,0,14,13,15,10,11,11,12,9,4,9,4,4,7,13,9,5,4,3,3,10,4,3,11,11
vessel 5,9,9,10,7,7,0,14,11,8,2,4,3,16,11,9,12,4,12,2,6,11,8,11,4,5,6,14,6,6,12
vessel 6,14,11,6,10,7,5,0,10,9,3,6,15,15,13,14,2,4,15,9,4,4,4,9,4,3,5,9,7,12,12
vessel 7,12,5,0,5,8,9,5,0,2,12,13,14,7,2,4,12,6,12,15,13,5,13,5,6,9,4,7,11,3,14
vessel 8,8,5,8,15,10,7,13,7,0,14,5,16,13,4,12,15,13,4,15,1,11,8,6,14,8,3,4,3,2,2
vessel 9,6,15,10,11,2,10,11,12,6,0,7,4,9,17,9,13,4,14,3,15,14,11,3,8,7,11,3,5,11,0
vessel 10,6,8,11,9,5,4,10,8,8,15,0,7,5,15,11,12,3,13,5,3,13,15,5,10,7,7,9,3,2,17
vessel 11,11,10,2,9,6,4,0,14,3,2,4,0,14,8,5,10,5,10,2,10,12,10,4,2,3,2,12,6,11,8
vessel 12,10,6,12,11,10,10,10,7,2,7,0,2,0,13,9,7,1,4,5,0,14,9,9,10,4,12,8,4,6,10
vessel 13,6,3,12,3,9,7,3,0,1,2,9,3,7,0,14,12,14,8,17,11,9,2,4,10,5,14,4,8,10,13
vessel 14,14,7,5,12,12,7,4,5,6,8,4,15,12,1,0,16,1,13,15,7,9,8,5,15,13,7,13,5,3,10
vessel 15,4,14,6,11,11,11,6,16,10,10,5,1,12,11,15,0,12,0,1,1,4,11,8,13,12,13,6,14,11,11
vessel 16,7,6,16,4,16,8,12,11,7,5,13,14,6,15,5,15,0,10,15,9,4,12,10,8,10,13,3,13,9,8
vessel 17,10,12,2,14,9,5,7,5,7,14,13,12,10,5,11,8,5,0,12,1,4,1,1,1,6,17,8,8,8,1
vessel 18,15,8,13,7,9,2,8,10,8,5,14,4,14,0,11,11,16,9,0,6,3,9,15,10,1,2,8,3,14,8
vessel 19,9,9,3,9,3,4,8,4,13,9,10,14,11,11,0,8,8,6,5,0,1,12,11,1,13,11,13,3,6,14
vessel 20,8,7,3,12,9,1,9,9,7,14,2,14,1,7,1,3,17,6,3,4,0,5,5,6,15,8,9,12,14,2
vessel 21,17,4,11,11,3,7,13,7,10,0,10,11,15,3,2,8,9,10,3,10,9,0,8,14,13,10,10,15,0,5
vessel 22,10,9,17,10,5,7,11,8,3,4,16,9,7,12,10,3,2,6,11,16,5,5,0,5,12,9,2,6,5,6
vessel 23,8,2,15,4,13,4,10,3,14,6,1,9,11,15,9,5,1,10,16,17,7,14,7,0,15,8,16,6,12,14
vessel 24,3,9,3,5,14,9,8,8,9,8,5,14,14,12,9,5,3,3,5,2,11,13,10,6,0,13,8,8,9,6
vessel 25,14,5,8,9,7,8,8,14,3,2,7,12,11,13,12,9,12,13,12,11,0,10,6,7,7,0,6,7,15,13
vessel 26,2,6,4,0,14,9,4,6,15,3,6,12,7,12,2,14,14,3,5,8,7,12,8,10,7,15,0,11,7,13
vessel 27,1,8,13,11,5,6,1,13,2,4,7,8,5,3,10,4,14,9,13,4,15,7,5,7,6,13,7,0,11,5
vessel 28,12,12,4,11,2,9,11,5,16,15,16,12,14,12,7,4,1,10,13,7,16,4,14,4,3,12,14,10,0,13
vessel 29,7,5,8,14,6,8,15,5,15,1,3,15,7,8,5,10,6,7,13,9,15,12,16,15,12,4,15,1,2,0
