,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,8,12,4,4,8,13,9,17,5,4,9,13,10,6,14,14,1,1,11,9,14,3,10,12,4,11,6,12,3
vessel 1,5,0,8,12,13,9,7,12,14,9,14,7,14,8,15,7,8,15,12,1,8,3,1,2,6,10,11,7,15,11
vessel 2,3,8,0,6,1,5,2,4,11,5,2,9,0,14,12,14,4,0,3,11,10,6,13,9,4,3,0,9,6,15
vessel 3,5,12,4,0,0,14,6,3,1,14,11,7,1,5,2,5,1,9,10,2,10,10,3,8,8,6,10,1,10,8
vessel 4,5,6,10,8,0,1,15,13,16,11,12,10,14,10,3,6,5,5,8,13,9,3,5,4,3,12,3,4,12,11
vessel 5,12,11,9,7,7,0,14,12,6,5,5,3,14,13,11,13,2,12,1,7,11,9,13,2,6,6,14,4,6,10
vessel 6,14,14,6,14,5,5,0,9,10,6,7,14,14,12,13,4,1,14,9,4,4,4,10,2,4,4,9,5,13,12
vessel 7,8,4,3,4,9,10,5,0,1,9,14,12,6,2,3,13,6,12,16,13,5,8,6,5,8,4,8,10,4,17
vessel 8,7,5,7,14,10,7,13,7,0,16,4,14,13,4,8,15,14,4,15,2,12,11,6,14,9,4,4,1,3,2
vessel 9,6,12,10,8,0,10,13,10,6,0,9,5,9,14,6,10,7,15,1,13,12,11,3,8,6,10,3,3,11,2
vessel 10,5,6,11,8,3,3,9,8,10,12,0,5,7,15,11,11,1,10,6,2,11,12,3,9,8,3,10,1,1,16
vessel 11,12,11,2,8,8,5,2,14,2,0,3,0,14,10,4,10,4,10,3,10,12,12,4,1,0,2,12,6,12,10
vessel 12,9,6,14,12,10,10,10,7,1,10,1,1,0,12,9,6,4,7,5,1,13,9,11,6,4,13,8,1,8,9
vessel 13,6,3,13,4,7,6,1,1,2,3,9,0,7,0,15,11,16,8,14,11,9,1,4,10,3,13,5,8,10,12
vessel 14,15,9,4,13,14,9,3,6,6,7,6,15,15,1,0,14,2,15,15,7,11,8,5,15,11,6,11,5,2,10
vessel 15,7,13,9,13,8,10,5,15,10,9,2,3,16,13,13,0,13,1,1,1,4,12,9,13,13,13,4,15,11,10
vessel 16,7,6,14,5,15,4,12,15,7,5,14,12,3,12,3,12,0,10,15,9,4,11,14,10,11,15,3,17,7,9
vessel 17,6,11,5,15,13,5,6,6,9,13,12,12,11,4,11,7,3,0,10,2,4,1,4,2,8,14,10,10,9,1
vessel 18,15,7,13,4,7,2,8,10,7,5,12,5,13,3,12,13,15,9,0,9,2,9,14,9,2,2,8,4,14,5
vessel 19,10,11,3,10,4,1,8,2,13,7,9,11,12,12,1,7,5,8,5,0,1,10,11,1,13,14,15,3,6,15
vessel 20,8,7,4,12,8,0,10,10,8,13,0,13,1,5,1,5,14,7,3,5,0,4,4,5,15,7,10,12,15,2
vessel 21,14,4,10,12,1,7,14,9,11,1,11,13,14,4,3,6,11,9,6,10,8,0,6,15,13,12,12,14,2,5
vessel 22,8,9,15,9,5,6,12,9,2,3,14,7,7,11,12,3,1,3,10,14,5,6,0,5,13,8,2,6,6,6
vessel 23,9,2,14,6,14,2,10,1,13,6,2,9,11,15,11,3,1,9,14,14,7,13,8,0,14,7,15,6,11,9
vessel 24,2,8,2,7,15,6,8,6,7,8,6,16,13,12,8,4,3,5,5,1,12,12,12,5,0,11,7,9,9,6
vessel 25,14,4,9,11,6,7,9,9,1,0,8,10,13,11,11,11,8,15,11,13,0,10,6,7,7,0,5,5,15,12
vessel 26,0,6,4,1,13,6,3,4,16,5,4,10,6,14,1,12,15,3,5,12,7,12,7,11,9,15,0,10,5,15
vessel 27,2,8,14,11,7,6,2,12,1,5,9,8,5,4,9,1,13,7,13,7,14,5,3,7,5,11,8,0,12,5
vessel 28,14,13,6,10,4,9,13,3,14,14,15,12,15,12,7,4,3,10,15,6,16,4,12,4,4,14,16,10,0,12
vessel 29,6,6,11,14,7,8,15,6,13,2,4,18,7,6,7,8,6,6,14,10,14,11,16,11,12,6,15,3,1,0
