,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,8,12,7,2,9,11,9,13,4,4,10,15,8,4,14,14,1,0,10,10,15,3,10,12,4,8,5,14,3
vessel 1,3,0,10,10,12,12,8,12,14,7,11,8,11,5,17,6,8,16,14,0,11,3,0,2,6,8,13,7,16,10
vessel 2,5,8,0,5,2,4,2,3,12,4,3,10,2,16,12,16,4,2,0,12,10,4,14,8,5,5,2,10,4,17
vessel 3,5,11,6,0,0,14,6,6,3,15,12,6,1,4,2,4,2,7,11,3,9,12,5,8,8,5,10,1,10,9
vessel 4,6,8,7,7,0,2,13,12,19,10,11,10,14,9,5,11,6,4,8,14,8,5,6,2,2,10,3,2,11,12
vessel 5,10,10,11,8,7,0,15,12,6,3,4,0,13,11,11,12,2,13,0,5,12,8,11,3,7,7,14,4,6,10
vessel 6,14,10,10,10,6,6,0,9,10,3,6,14,14,14,15,4,2,14,9,8,4,7,9,1,5,2,11,6,12,13
vessel 7,8,7,0,4,9,9,4,0,1,15,14,13,7,5,2,13,7,12,14,13,5,9,5,3,9,4,6,9,2,13
vessel 8,8,1,7,13,9,5,13,7,0,14,5,14,13,6,9,14,17,7,15,2,11,8,7,16,9,3,2,1,2,4
vessel 9,5,12,10,9,0,11,12,10,6,0,9,4,11,14,5,11,4,15,1,16,13,12,5,10,6,11,8,4,12,1
vessel 10,7,5,12,7,6,2,10,7,8,13,0,5,4,15,12,11,2,10,6,2,11,11,5,11,9,4,9,4,0,17
vessel 11,11,12,1,10,8,5,3,14,3,2,5,0,14,8,7,11,8,11,2,12,10,9,4,1,2,3,13,8,14,10
vessel 12,10,3,12,12,10,10,10,8,1,9,2,1,0,15,10,6,1,8,5,2,12,10,12,8,4,15,6,2,6,9
vessel 13,7,4,14,1,9,5,2,1,2,5,10,1,7,0,15,12,15,10,15,10,9,2,3,10,3,15,6,7,12,14
vessel 14,14,6,3,14,13,9,4,6,5,10,7,13,12,1,0,17,3,15,16,11,8,10,3,16,11,5,10,7,4,11
vessel 15,4,12,4,13,8,10,6,16,9,11,3,2,12,11,13,0,11,0,1,5,4,11,8,12,11,16,6,14,10,12
vessel 16,6,6,12,6,15,4,12,13,5,6,15,12,4,12,5,14,0,8,15,8,4,10,11,10,13,12,3,15,8,9
vessel 17,6,13,2,15,9,4,6,7,9,15,14,14,12,5,11,5,4,0,10,0,5,1,2,3,8,14,9,8,9,6
vessel 18,15,8,14,6,8,2,6,10,7,4,12,6,14,2,11,12,14,11,0,7,2,9,14,10,3,3,8,7,14,7
vessel 19,6,10,2,10,4,2,9,4,15,9,9,12,8,13,1,9,5,7,7,0,2,11,9,1,15,11,12,5,7,14
vessel 20,7,7,5,11,7,3,9,11,10,14,1,12,2,5,1,3,13,7,8,3,0,5,4,7,15,6,11,12,14,2
vessel 21,17,3,12,12,2,8,13,8,10,2,11,13,15,3,3,7,10,11,4,11,10,0,6,15,14,12,9,17,1,5
vessel 22,9,8,15,11,7,8,12,9,1,3,14,8,6,13,13,4,0,5,12,15,9,6,0,7,14,8,1,7,3,7
vessel 23,8,0,16,4,13,4,8,1,17,5,1,8,10,17,7,5,3,8,17,13,7,14,9,0,14,7,15,9,16,13
vessel 24,0,8,3,6,14,6,9,7,9,9,6,14,13,13,9,6,7,3,5,4,13,12,8,6,0,12,8,8,10,6
vessel 25,15,3,11,8,6,8,9,10,1,0,10,10,11,11,13,12,10,12,11,12,0,10,6,7,8,0,8,6,16,12
vessel 26,4,8,5,0,13,7,2,3,14,6,4,10,8,12,1,12,15,2,4,9,7,13,7,10,7,15,0,11,5,16
vessel 27,2,9,14,11,6,6,1,12,2,4,6,8,7,3,9,1,14,8,11,5,16,5,4,7,7,12,7,0,11,5
vessel 28,15,14,7,13,4,9,13,4,15,14,12,13,17,12,8,5,1,11,11,7,15,4,12,6,3,11,13,12,0,13
vessel 29,7,4,8,19,6,11,14,5,14,0,6,14,7,8,6,11,7,6,11,10,13,14,15,12,12,6,15,3,1,0
