,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,12,5,3,8,10,10,13,5,5,9,13,8,6,17,14,1,0,10,9,13,2,9,10,4,9,5,12,3
vessel 1,3,0,10,10,12,9,7,13,15,7,10,8,11,8,15,9,8,15,14,2,11,3,1,0,5,8,11,7,15,11
vessel 2,4,8,0,8,4,3,2,3,10,4,3,8,1,14,9,15,3,1,0,13,11,5,14,8,5,3,2,10,4,14
vessel 3,5,15,3,0,1,15,5,3,1,14,13,10,0,4,4,5,1,9,10,2,12,10,3,6,6,6,10,0,11,8
vessel 4,5,6,7,8,0,0,12,13,14,10,12,12,12,9,4,7,5,5,8,13,8,3,4,5,2,9,3,3,13,11
vessel 5,11,11,12,7,6,0,13,11,8,3,5,1,13,13,10,13,1,10,0,5,10,10,10,3,8,6,14,7,6,9
vessel 6,16,10,7,10,6,5,0,9,9,5,6,16,12,11,14,3,4,14,10,4,3,4,9,1,4,4,10,6,11,14
vessel 7,7,6,1,4,9,11,5,0,0,11,14,13,7,2,5,12,6,12,15,13,6,9,6,3,8,5,9,10,2,14
vessel 8,6,2,8,14,10,6,15,6,0,15,7,14,14,5,8,15,15,5,15,2,11,8,6,14,8,3,4,1,6,2
vessel 9,4,12,10,9,0,9,11,10,7,0,8,5,8,14,7,11,7,12,2,11,13,11,4,10,7,11,7,3,10,1
vessel 10,6,6,9,7,5,4,9,6,7,15,0,7,5,15,12,11,2,10,5,3,11,10,3,9,7,4,9,2,2,16
vessel 11,12,11,2,8,7,5,0,13,2,3,4,0,16,12,4,11,5,12,7,10,11,9,2,2,1,2,14,7,11,9
vessel 12,9,3,12,11,10,10,10,7,1,8,2,1,0,13,8,7,2,7,4,1,12,10,10,5,5,11,7,1,6,9
vessel 13,6,3,12,1,7,6,1,2,1,2,10,1,7,0,15,11,14,9,14,11,9,3,4,9,3,14,4,9,13,14
vessel 14,13,7,3,14,12,8,3,5,7,7,5,13,14,2,0,16,1,13,14,11,8,9,5,14,14,5,12,7,1,11
vessel 15,5,13,6,13,7,11,6,13,9,12,2,1,14,12,14,0,14,1,2,1,6,10,8,12,12,15,5,13,12,12
vessel 16,6,8,12,3,14,5,12,11,5,7,13,13,3,10,3,14,0,11,13,11,3,11,12,9,10,15,3,14,8,9
vessel 17,10,14,3,14,11,6,6,7,8,13,12,13,10,4,11,7,2,0,10,1,5,2,0,2,7,14,10,10,10,2
vessel 18,15,7,13,8,7,4,4,10,6,5,12,5,13,2,11,12,14,12,0,8,3,9,16,9,5,4,8,5,14,6
vessel 19,6,11,2,9,4,3,11,4,13,8,9,14,9,13,1,7,5,7,4,0,2,12,8,1,15,11,12,3,7,15
vessel 20,7,7,3,13,8,0,12,9,7,13,0,12,0,5,0,2,14,7,4,3,0,5,4,4,15,6,11,12,15,2
vessel 21,14,3,11,12,1,7,13,7,10,3,11,12,17,6,1,6,9,12,4,10,7,0,7,13,13,9,10,13,1,6
vessel 22,8,8,13,10,6,6,12,12,1,3,13,8,7,12,11,6,1,4,8,14,5,7,0,4,13,8,1,5,2,10
vessel 23,8,1,15,4,12,2,7,2,14,5,3,8,10,14,9,3,1,8,14,12,6,13,7,0,15,8,17,10,12,11
vessel 24,1,8,3,5,16,6,6,7,8,8,5,15,12,13,8,5,3,3,7,2,11,13,7,4,0,12,6,9,9,5
vessel 25,14,4,6,7,6,7,8,9,1,1,8,10,12,10,13,12,8,12,11,12,2,11,9,8,8,0,11,9,15,13
vessel 26,4,5,3,0,14,7,2,3,14,4,3,11,7,12,1,11,12,3,5,8,7,12,8,13,7,13,0,10,6,14
vessel 27,1,8,13,11,5,6,0,14,0,3,6,7,7,5,8,3,13,8,12,3,14,5,3,6,7,11,7,0,12,5
vessel 28,14,13,4,9,3,9,11,4,15,14,13,14,14,11,8,4,2,9,11,7,14,5,12,3,4,14,15,10,0,12
vessel 29,8,4,9,14,6,8,15,5,14,1,3,16,8,8,5,9,6,6,13,12,13,12,15,12,13,4,15,1,1,0
