,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,11,13,6,5,8,11,11,13,8,6,13,12,10,8,15,13,2,2,13,9,16,2,14,12,4,8,5,13,4
vessel 1,3,0,9,11,13,9,6,13,12,11,11,9,13,4,14,8,9,14,14,0,8,4,0,2,6,10,11,6,14,11
vessel 2,5,8,0,7,4,3,1,3,12,6,3,9,1,17,10,14,3,1,1,13,11,4,13,10,5,4,0,10,7,15
vessel 3,5,13,5,0,0,14,10,4,2,16,11,9,1,5,4,4,2,10,10,2,9,15,5,6,7,6,10,0,10,9
vessel 4,6,10,10,7,0,3,13,12,15,10,10,12,12,13,4,8,6,5,8,15,9,8,5,4,3,10,5,3,9,13
vessel 5,12,10,11,7,7,0,13,10,9,3,6,2,13,11,10,12,1,12,1,7,11,7,14,5,7,5,14,6,6,9
vessel 6,15,10,10,11,5,5,0,8,12,4,6,15,14,14,14,2,2,13,8,4,5,5,9,2,4,6,11,8,13,12
vessel 7,9,7,1,3,8,9,5,0,1,13,16,12,8,3,3,12,8,15,14,14,7,8,5,4,10,5,6,11,5,16
vessel 8,6,4,9,15,9,6,15,7,0,14,3,14,14,5,8,16,14,6,18,3,13,9,8,17,10,3,4,1,3,2
vessel 9,2,14,10,10,4,9,13,10,7,0,8,4,9,13,6,11,8,15,2,16,14,11,3,10,6,11,3,4,10,0
vessel 10,5,8,10,10,5,3,10,8,7,14,0,5,6,16,12,14,4,9,4,2,11,11,4,11,10,3,9,1,1,15
vessel 11,13,11,2,11,7,4,1,12,2,2,4,0,15,9,6,10,5,10,3,13,13,10,4,1,1,4,13,7,11,9
vessel 12,9,3,11,10,12,12,11,8,2,7,0,2,0,17,10,7,2,7,4,0,14,10,11,9,6,13,6,2,7,10
vessel 13,8,2,13,1,8,4,1,2,1,2,10,0,11,0,14,11,16,10,14,11,10,1,6,9,3,14,4,7,12,13
vessel 14,14,6,4,12,12,8,3,5,8,7,5,15,14,1,0,15,1,13,15,9,10,9,6,14,11,6,10,5,2,13
vessel 15,6,14,8,11,10,12,5,14,11,11,2,1,12,16,14,0,14,1,0,1,5,11,11,12,13,14,5,14,12,12
vessel 16,6,7,16,8,15,8,13,15,6,10,13,14,3,13,5,12,0,9,15,11,5,10,12,8,12,16,5,14,8,10
vessel 17,10,11,3,15,11,8,7,5,8,14,14,13,12,5,13,7,3,0,9,2,7,4,4,1,7,16,8,10,8,1
vessel 18,14,8,15,4,8,3,7,11,7,4,12,5,15,2,13,12,14,9,0,7,2,8,15,13,1,2,11,5,13,6
vessel 19,6,9,3,11,6,3,9,2,14,9,10,14,9,15,0,8,5,6,3,0,4,11,10,1,17,13,14,7,7,14
vessel 20,8,7,3,15,7,2,10,8,8,12,2,15,0,5,0,4,15,7,5,3,0,4,5,4,17,6,10,14,14,5
vessel 21,15,4,11,10,3,6,12,10,12,2,10,11,15,4,4,5,10,9,5,10,10,0,7,12,13,10,12,13,2,6
vessel 22,11,9,16,11,5,8,11,10,4,4,14,7,7,12,11,3,0,4,8,15,6,6,0,6,13,10,0,5,3,8
vessel 23,9,0,14,6,15,3,9,0,14,6,3,9,11,14,8,4,1,9,16,14,10,12,8,0,13,6,16,7,13,12
vessel 24,2,7,3,6,18,6,7,6,8,10,7,14,13,15,9,4,5,5,6,4,12,14,7,4,0,11,7,8,10,5
vessel 25,14,7,8,9,8,8,7,11,1,1,9,10,11,10,12,13,10,13,13,12,1,12,7,7,7,0,5,5,15,14
vessel 26,0,6,3,2,15,9,4,4,15,5,3,11,7,15,3,12,12,3,5,8,9,12,10,10,8,14,0,10,7,15
vessel 27,0,8,13,11,6,7,1,12,1,3,6,7,6,5,8,2,14,7,14,3,15,5,4,6,5,14,6,0,13,4
vessel 28,15,12,7,9,4,10,13,4,15,14,12,13,14,14,7,6,2,6,12,7,14,3,15,4,4,14,12,10,0,13
vessel 29,8,6,8,15,9,8,17,5,16,2,4,17,9,7,6,10,5,7,11,11,15,12,16,11,14,5,18,3,0,0
