,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,13,4,3,12,12,10,13,6,6,13,12,10,8,14,13,3,3,10,11,15,2,10,13,5,9,5,14,1
vessel 1,3,0,9,12,13,9,6,14,12,8,10,8,14,7,17,8,10,15,13,3,9,3,2,2,4,9,13,7,13,10
vessel 2,4,9,0,5,2,5,2,4,12,4,3,8,4,17,11,15,4,0,2,13,11,3,11,9,4,4,1,10,7,15
vessel 3,7,12,5,0,0,15,6,4,2,16,13,8,0,8,3,4,1,8,11,3,11,12,5,6,6,6,9,2,11,10
vessel 4,7,6,9,10,0,2,13,13,15,10,14,12,15,9,6,7,7,5,7,11,8,3,6,4,3,9,5,5,11,11
vessel 5,11,10,11,10,9,0,15,10,7,3,5,4,14,11,10,13,3,14,2,6,11,8,10,3,9,7,13,7,5,10
vessel 6,14,13,8,11,8,6,0,10,10,7,7,14,16,12,15,4,2,13,10,7,5,6,10,4,6,3,9,5,12,13
vessel 7,11,7,0,3,7,15,6,0,1,13,14,13,7,6,3,14,7,15,14,15,7,7,5,4,10,6,8,9,3,13
vessel 8,8,5,9,15,10,5,14,6,0,14,3,14,13,2,8,17,16,4,15,1,12,8,7,15,10,2,2,3,4,3
vessel 9,6,14,10,11,0,9,12,12,5,0,9,4,9,14,5,11,6,13,3,13,13,12,7,10,10,11,5,4,9,1
vessel 10,7,8,11,9,3,4,11,8,10,13,0,6,5,15,13,12,4,10,6,3,12,10,3,10,9,5,9,1,2,14
vessel 11,13,10,2,10,6,4,2,13,4,1,4,0,15,9,5,8,4,12,2,10,10,9,4,1,3,3,12,5,12,9
vessel 12,9,4,12,12,9,10,12,7,1,8,1,3,0,13,10,6,2,5,6,1,15,10,9,6,4,11,8,2,8,9
vessel 13,7,3,14,3,8,5,1,2,0,4,9,1,6,0,14,14,16,9,15,13,10,1,3,12,5,12,5,8,10,12
vessel 14,16,8,4,12,11,6,5,5,6,8,5,13,13,0,0,14,2,13,15,8,9,7,5,16,12,6,11,8,3,12
vessel 15,5,15,8,11,7,10,7,13,11,11,2,3,9,12,16,0,13,0,1,4,4,11,10,13,11,14,6,14,10,12
vessel 16,6,7,13,6,17,5,12,11,7,7,15,13,3,13,7,12,0,10,13,10,5,13,11,12,11,13,3,14,8,8
vessel 17,7,13,2,14,10,4,7,5,9,13,13,15,12,5,12,6,7,0,11,1,6,2,3,3,7,14,11,8,9,3
vessel 18,15,8,15,6,8,2,7,10,7,4,13,6,15,0,11,11,14,10,0,6,2,9,16,9,1,4,8,4,14,7
vessel 19,7,10,3,12,3,1,8,3,13,8,13,12,9,12,0,9,5,5,3,0,2,14,13,0,14,13,12,4,6,15
vessel 20,7,6,4,12,8,1,9,9,10,17,1,13,0,7,3,4,13,7,3,2,0,4,6,4,16,6,10,11,15,3
vessel 21,17,4,13,11,1,8,14,8,11,0,11,11,17,3,1,7,10,10,5,8,9,0,6,13,14,10,10,14,2,5
vessel 22,9,11,15,10,6,4,13,9,2,3,14,8,8,12,12,6,2,6,8,15,6,8,0,5,12,12,0,8,4,9
vessel 23,8,4,16,5,14,3,10,2,15,5,2,9,9,15,8,6,2,9,18,14,6,12,7,0,14,9,15,9,11,12
vessel 24,2,7,4,6,15,8,7,7,11,9,6,16,12,13,7,7,3,4,6,1,10,13,8,7,0,12,7,8,10,4
vessel 25,13,6,10,8,9,9,8,9,2,1,8,10,11,12,12,12,9,14,14,12,1,9,7,7,8,0,6,6,16,15
vessel 26,2,5,3,2,15,7,3,4,16,6,6,13,7,12,0,11,14,7,6,10,7,15,8,11,7,15,0,12,5,13
vessel 27,1,9,13,12,5,5,0,12,2,4,5,10,7,5,8,1,13,7,12,6,14,8,4,6,5,11,7,0,13,4
vessel 28,15,14,7,10,5,8,13,3,15,17,12,13,16,14,6,5,2,9,11,6,14,5,15,4,5,11,13,11,0,13
vessel 29,7,7,9,14,6,7,16,6,17,0,4,15,6,10,7,11,7,7,13,11,14,13,14,14,12,5,15,0,1,0
