,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,8,12,4,3,8,12,9,13,4,2,7,12,8,6,13,12,1,0,10,9,13,2,9,11,3,7,5,12,1
vessel 1,2,0,8,9,12,9,6,12,12,7,8,7,11,5,14,6,8,14,12,0,8,3,0,0,4,8,12,7,13,10
vessel 2,3,8,0,5,1,3,1,3,10,3,2,8,0,14,9,14,3,0,0,12,9,3,11,7,4,3,0,9,2,14
vessel 3,5,11,3,0,0,14,5,3,1,14,11,6,0,4,1,4,0,7,10,2,9,10,3,6,6,5,9,0,9,9
vessel 4,5,6,7,7,0,0,12,12,16,10,10,10,12,8,3,6,4,4,7,11,7,3,4,2,1,9,3,2,11,11
vessel 5,9,9,7,7,8,0,13,10,6,2,4,1,13,10,9,11,1,12,0,5,9,7,10,2,6,5,13,5,5,9
vessel 6,14,10,6,10,5,5,0,8,9,3,6,14,12,11,13,2,1,13,8,4,3,4,9,1,4,2,9,5,11,12
vessel 7,7,6,0,4,7,9,4,0,0,11,13,12,6,2,2,12,6,12,14,13,5,8,4,3,8,4,6,9,2,13
vessel 8,6,3,7,13,8,5,12,6,0,14,3,13,12,2,8,14,14,4,14,1,10,8,6,14,8,2,1,0,2,2
vessel 9,4,12,9,9,0,8,11,10,5,0,8,4,8,13,5,10,4,12,1,13,12,10,3,8,6,10,3,3,9,0
vessel 10,5,8,9,7,3,2,9,6,7,12,0,6,4,14,11,11,2,9,4,2,12,10,3,9,7,5,8,1,0,14
vessel 11,11,10,1,8,6,3,0,14,2,0,4,0,14,8,4,9,4,10,2,9,10,9,2,1,0,2,12,5,11,8
vessel 12,9,3,11,10,9,10,10,7,1,7,0,0,0,12,8,8,1,4,4,0,12,9,9,6,3,11,6,0,6,9
vessel 13,6,2,12,1,7,4,1,0,0,2,8,0,6,0,14,11,14,8,14,10,8,1,3,9,3,13,4,7,11,12
vessel 14,13,6,3,11,11,7,3,4,5,7,4,14,12,0,0,14,0,13,14,7,7,7,3,14,11,5,10,5,1,10
vessel 15,4,12,6,11,7,10,5,13,9,9,3,1,11,11,13,0,11,0,0,1,4,10,8,13,11,13,4,13,10,10
vessel 16,6,6,12,3,14,4,11,9,5,5,13,12,3,12,3,12,0,9,13,8,3,10,11,8,10,12,3,13,7,7
vessel 17,6,11,1,14,9,4,6,5,7,13,12,12,10,4,11,6,2,0,9,0,4,1,3,1,6,14,9,7,8,1
vessel 18,14,7,13,4,7,2,6,9,6,3,11,4,13,0,11,11,14,9,0,6,2,8,14,9,1,2,8,4,13,5
vessel 19,6,9,2,9,3,1,8,2,13,7,9,12,8,11,0,7,7,5,3,0,1,10,9,0,12,11,12,3,6,14
vessel 20,7,6,3,11,7,0,9,8,7,12,0,12,0,5,0,2,13,6,3,2,0,3,4,4,14,5,9,11,14,2
vessel 21,14,3,10,10,1,7,12,7,10,0,10,11,14,3,1,5,9,9,3,8,8,0,7,12,12,9,9,13,0,5
vessel 22,8,8,13,9,4,6,11,8,1,3,13,7,6,11,10,3,0,3,8,14,5,5,0,4,11,8,0,5,2,6
vessel 23,7,0,14,4,12,1,7,0,13,5,1,8,9,14,7,3,1,9,14,12,6,12,7,0,14,5,14,6,11,11
vessel 24,0,7,0,5,14,6,6,6,8,8,5,14,12,12,7,4,4,3,5,1,10,12,7,4,0,11,6,7,8,4
vessel 25,13,3,8,7,6,6,7,9,1,0,8,10,10,8,11,11,8,11,11,11,0,9,6,6,7,0,5,5,14,12
vessel 26,0,5,2,0,13,6,2,4,15,3,3,9,6,12,0,11,12,2,4,8,7,12,7,10,7,13,0,10,5,14
vessel 27,0,7,13,10,5,5,0,12,1,3,5,7,5,3,8,1,13,7,11,3,14,5,3,6,5,11,6,0,11,4
vessel 28,13,12,4,7,2,8,11,3,14,13,12,12,14,11,6,4,1,8,11,5,14,3,12,3,3,11,10,9,0,12
vessel 29,6,4,8,14,6,9,14,5,13,0,3,14,7,6,6,9,5,6,11,9,13,11,14,11,12,4,14,1,0,0
