,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,12,4,1,7,11,8,11,2,2,9,11,8,6,13,12,0,0,8,8,13,2,9,11,2,6,5,11,0
vessel 1,0,0,7,9,12,8,6,11,11,5,7,7,9,4,12,8,8,14,12,0,8,3,0,0,2,6,8,6,12,6
vessel 2,3,5,0,5,0,2,1,2,9,3,1,8,0,11,9,13,1,0,0,11,9,2,10,5,0,1,0,8,4,14
vessel 3,4,9,2,0,0,14,3,2,0,11,11,6,0,3,1,4,0,7,10,1,9,7,2,6,6,3,8,0,8,6
vessel 4,5,5,6,7,0,0,12,12,13,9,9,10,10,6,1,4,4,3,7,9,5,2,2,1,0,9,0,1,11,9
vessel 5,7,9,6,5,5,0,13,7,6,0,3,0,12,8,8,11,1,10,0,5,3,6,9,2,6,4,9,4,3,5
vessel 6,11,9,4,9,5,4,0,7,9,1,6,10,10,11,11,1,0,13,6,4,3,4,8,1,1,1,8,4,10,12
vessel 7,5,5,0,3,7,8,4,0,0,9,13,11,6,1,2,11,6,12,14,13,5,7,4,2,5,1,5,8,2,13
vessel 8,6,3,6,13,8,5,9,4,0,12,3,12,12,1,7,14,14,4,11,1,10,8,6,14,6,1,0,0,2,0
vessel 9,4,12,8,7,0,9,9,9,4,0,5,4,6,11,4,10,2,10,0,12,12,10,3,7,5,10,3,2,9,0
vessel 10,4,5,9,6,3,0,7,4,6,11,0,3,2,14,11,11,1,8,4,1,9,9,3,9,7,1,6,0,0,12
vessel 11,8,9,1,7,6,2,0,13,2,0,3,0,13,7,3,8,4,10,1,9,9,8,2,1,0,1,11,4,11,8
vessel 12,9,3,11,8,9,9,9,6,0,7,0,0,0,11,7,5,0,4,3,0,10,9,9,5,2,11,5,0,6,9
vessel 13,5,2,11,1,7,3,0,0,0,1,7,0,6,0,12,11,14,7,14,8,7,0,3,9,1,12,3,6,8,11
vessel 14,13,6,3,7,9,6,3,4,3,6,3,11,10,0,0,14,0,13,13,5,6,7,2,14,9,3,9,4,1,10
vessel 15,4,10,4,10,7,9,5,12,7,9,0,0,11,9,11,0,7,0,0,1,4,8,7,10,9,13,3,13,8,7
vessel 16,6,3,12,2,13,2,7,9,5,4,11,11,3,11,0,12,0,7,12,7,2,10,7,8,10,11,3,14,7,6
vessel 17,5,10,0,12,8,4,6,5,6,11,11,12,10,2,10,4,2,0,9,0,4,1,1,1,4,14,8,6,6,1
vessel 18,14,6,11,3,7,1,4,8,6,2,8,4,10,0,10,11,13,8,0,5,1,7,13,8,0,0,8,4,14,4
vessel 19,6,9,2,6,3,0,8,1,12,5,9,12,8,10,0,5,4,4,2,0,1,10,9,0,11,11,12,1,6,13
vessel 20,7,6,2,9,5,0,7,8,7,11,0,11,0,4,0,0,12,5,3,1,0,1,4,4,12,5,8,10,13,2
vessel 21,12,3,9,9,1,6,12,5,10,0,9,10,14,1,0,5,7,9,3,7,7,0,5,12,12,8,8,9,0,5
vessel 22,4,7,11,9,3,6,10,5,1,3,13,7,6,11,10,1,0,3,7,14,3,5,0,2,10,7,0,5,2,6
vessel 23,4,1,14,3,10,2,7,0,13,3,1,7,8,13,7,3,3,8,12,10,5,10,5,0,13,4,13,4,10,10
vessel 24,0,6,0,3,14,6,6,5,7,6,4,13,12,10,6,3,2,3,5,1,10,12,7,3,0,11,6,2,8,2
vessel 25,13,3,7,6,4,5,6,9,0,0,8,9,7,10,11,10,7,9,10,11,0,6,5,5,7,0,4,4,14,12
vessel 26,0,5,2,0,12,6,0,2,12,2,1,9,5,11,0,11,9,1,3,7,7,11,6,9,6,10,0,9,3,9
vessel 27,0,6,13,9,5,3,0,12,0,2,5,5,5,2,7,0,11,4,10,2,12,5,3,6,4,11,6,0,11,4
vessel 28,13,10,1,9,1,7,10,3,12,13,11,10,12,10,6,1,1,6,11,5,14,3,10,1,3,11,12,8,0,10
vessel 29,5,4,7,14,5,7,13,5,12,0,3,13,6,5,2,9,5,6,11,7,13,10,13,10,11,4,11,1,0,0
