,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,14,4,4,9,11,9,14,5,3,9,13,9,6,15,12,1,0,10,11,14,2,9,11,3,7,5,14,1
vessel 1,2,0,11,9,12,9,6,13,12,8,11,7,12,6,15,6,8,14,12,1,8,4,0,1,7,9,11,6,13,10
vessel 2,3,9,0,6,2,4,1,3,10,4,2,10,0,14,10,14,3,0,0,12,9,4,12,9,5,5,0,9,4,15
vessel 3,5,11,4,0,0,14,5,3,2,14,12,7,0,4,2,5,0,7,10,2,9,10,3,6,7,5,9,4,10,8
vessel 4,5,6,7,7,0,0,13,15,14,11,11,11,12,8,3,7,4,4,8,13,8,3,5,2,2,10,4,2,11,12
vessel 5,9,11,9,7,6,0,13,10,6,2,4,1,13,10,10,13,2,12,0,6,9,7,10,3,7,6,13,5,7,9
vessel 6,14,10,7,12,5,6,0,8,10,3,8,15,12,13,13,4,1,13,9,6,3,4,9,2,3,3,9,4,11,12
vessel 7,7,6,0,3,7,11,4,0,0,12,14,12,6,2,2,12,8,12,14,13,5,8,4,3,8,6,6,9,2,14
vessel 8,6,3,8,13,9,5,12,7,0,14,3,13,12,2,8,14,14,4,15,1,10,9,6,14,9,2,2,0,2,3
vessel 9,5,12,9,9,0,8,12,10,6,0,7,4,9,13,5,11,6,12,1,13,12,10,4,9,6,10,4,3,12,1
vessel 10,5,6,9,7,3,2,9,7,8,13,0,5,4,14,11,12,2,9,4,2,12,10,5,9,8,3,8,2,0,14
vessel 11,11,11,1,7,6,3,1,14,2,1,4,0,15,9,6,9,5,10,3,9,12,9,3,1,0,3,12,5,10,8
vessel 12,10,3,11,10,9,10,10,7,1,6,0,3,0,13,8,6,3,5,5,2,12,11,9,7,4,12,7,0,6,9
vessel 13,6,2,12,1,7,4,2,0,0,2,8,0,7,0,14,11,14,8,15,11,8,3,5,9,3,13,5,7,12,12
vessel 14,13,7,3,12,11,8,3,4,6,8,4,13,12,0,0,14,0,13,15,8,9,7,3,14,12,5,11,6,1,10
vessel 15,5,12,6,11,7,11,6,15,9,11,2,2,11,12,13,0,13,0,0,2,4,10,8,13,11,14,5,13,10,10
vessel 16,6,7,12,3,14,5,11,11,6,6,13,12,3,12,5,13,0,9,14,10,3,10,11,7,10,15,3,13,7,8
vessel 17,6,12,2,14,9,4,6,5,7,13,12,13,10,4,13,5,2,0,9,0,4,1,1,1,7,16,8,8,8,1
vessel 18,14,7,13,5,7,4,6,10,6,5,11,5,13,1,12,12,15,9,0,7,2,8,14,9,1,2,8,4,13,5
vessel 19,6,9,3,9,4,1,9,2,13,8,9,12,8,11,0,7,5,5,3,0,1,10,9,0,13,11,12,3,6,14
vessel 20,8,7,3,11,7,0,9,6,7,12,1,12,0,5,0,2,13,6,3,2,0,4,4,4,14,5,9,11,14,2
vessel 21,15,4,11,10,1,6,12,7,10,0,12,12,14,3,1,6,9,9,4,8,7,0,7,12,13,9,10,13,1,5
vessel 22,8,9,13,9,4,6,11,8,2,4,13,7,7,11,11,4,1,4,8,14,7,3,0,5,11,9,0,5,2,10
vessel 23,8,0,15,5,12,2,7,0,13,5,1,10,11,15,7,3,1,9,14,12,7,12,9,0,14,5,15,6,11,11
vessel 24,0,8,2,7,14,7,6,7,8,9,5,14,12,12,7,4,3,3,5,1,10,13,7,4,0,12,7,8,9,5
vessel 25,14,4,9,7,6,6,9,9,1,0,9,10,10,10,12,10,8,11,12,11,0,10,6,6,8,0,5,6,15,12
vessel 26,1,4,3,0,14,6,2,4,13,3,4,9,6,13,0,12,13,3,4,8,7,14,8,11,7,13,0,10,6,14
vessel 27,0,7,13,10,6,6,2,12,1,3,7,7,6,4,10,1,13,7,11,3,14,5,4,6,5,12,6,0,12,4
vessel 28,13,12,4,10,2,9,11,3,14,14,12,13,16,12,6,5,3,8,12,6,14,6,13,4,3,12,12,10,0,12
vessel 29,7,5,9,15,6,9,15,7,14,1,3,15,8,6,5,9,5,6,11,9,14,11,14,11,13,5,14,1,0,0
