,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,12,4,2,8,11,9,13,3,3,9,12,8,6,14,11,0,0,8,8,13,2,9,11,3,7,4,12,1
vessel 1,2,0,8,9,12,9,6,12,12,7,10,7,11,5,14,6,8,14,12,0,8,3,0,0,4,8,8,5,13,10
vessel 2,2,8,0,5,1,2,1,3,9,2,2,7,0,14,7,13,3,0,0,12,9,2,11,6,2,3,0,8,4,14
vessel 3,5,10,2,0,0,14,5,3,1,13,11,6,0,4,1,3,0,7,10,2,9,7,3,6,6,4,9,0,9,8
vessel 4,5,6,7,6,0,0,11,12,14,10,10,9,11,7,2,6,4,4,7,11,7,2,4,2,1,8,3,1,11,11
vessel 5,9,8,9,7,6,0,12,8,6,2,4,1,13,10,8,12,1,12,0,5,9,5,10,1,6,5,13,5,5,7
vessel 6,14,10,6,10,4,4,0,8,9,1,6,14,10,11,14,2,1,12,8,3,3,4,9,1,2,2,9,5,11,10
vessel 7,7,6,0,3,6,8,4,0,0,11,13,9,6,1,1,12,4,11,14,13,3,8,3,3,8,4,5,8,2,13
vessel 8,6,2,6,13,8,5,11,6,0,14,1,13,12,2,7,14,14,5,13,1,10,7,6,14,8,2,0,0,2,2
vessel 9,3,12,9,9,0,8,10,10,5,0,7,2,8,10,5,9,4,12,1,13,11,10,3,8,6,9,2,2,9,0
vessel 10,4,6,7,7,3,1,9,6,7,12,0,4,3,13,11,10,1,9,4,2,11,10,3,9,6,3,7,1,0,14
vessel 11,11,10,0,8,6,3,0,13,2,0,4,0,14,8,4,8,4,10,2,8,10,9,2,1,0,1,11,5,11,8
vessel 12,9,4,11,8,9,9,12,7,0,6,0,0,0,12,7,6,1,6,4,0,12,9,8,5,3,11,6,0,6,9
vessel 13,5,1,12,0,7,4,1,0,0,0,8,0,6,0,14,11,14,8,14,10,8,1,2,9,3,12,4,7,10,12
vessel 14,13,6,3,10,10,7,2,3,5,7,4,13,12,0,0,13,0,13,13,6,7,6,2,13,11,5,10,4,1,10
vessel 15,4,12,6,10,7,10,5,13,9,9,0,1,11,11,12,0,11,0,0,1,4,10,8,12,11,13,4,13,10,12
vessel 16,6,6,12,3,14,3,11,11,5,5,13,11,3,12,3,12,0,9,13,8,4,10,11,6,8,13,3,13,7,7
vessel 17,6,11,1,14,9,4,6,5,6,13,12,12,10,3,11,4,2,0,9,0,4,1,0,1,5,14,8,6,8,1
vessel 18,13,7,12,4,7,2,5,9,6,2,9,4,12,0,11,10,14,7,0,4,1,8,14,9,1,2,8,4,12,5
vessel 19,6,8,2,9,3,1,8,2,13,7,9,12,8,9,0,6,4,5,3,0,1,10,9,0,12,11,12,3,6,14
vessel 20,6,6,3,11,7,0,9,7,7,12,0,12,2,5,0,2,13,6,3,2,0,3,3,4,14,5,7,11,14,2
vessel 21,14,2,10,10,1,6,12,7,9,0,9,10,14,3,1,5,9,9,2,8,7,0,6,12,11,9,8,13,0,5
vessel 22,8,6,13,9,2,6,10,8,1,3,13,6,6,11,8,3,0,2,8,14,5,4,0,4,10,6,0,4,1,6
vessel 23,7,0,14,4,10,1,6,0,13,3,1,8,9,13,7,3,3,8,14,12,6,12,7,0,14,3,13,6,10,10
vessel 24,0,5,2,5,14,6,6,6,8,8,3,14,10,12,7,4,3,3,5,1,9,12,7,4,0,10,5,6,7,4
vessel 25,13,3,8,7,6,6,6,9,1,0,7,10,10,10,11,11,8,11,10,11,0,7,6,6,7,0,5,5,14,11
vessel 26,0,5,1,0,13,6,1,3,12,2,1,9,5,12,0,10,12,2,3,8,7,12,7,10,7,13,0,10,4,13
vessel 27,0,6,13,9,3,3,0,11,0,3,4,7,5,3,8,1,11,7,11,3,14,4,1,6,5,11,6,0,11,3
vessel 28,13,12,6,9,2,8,11,3,14,13,12,12,14,11,6,4,1,8,11,5,14,3,11,3,3,11,12,9,0,13
vessel 29,5,4,8,14,6,8,14,4,13,0,3,12,6,6,5,9,5,6,10,8,13,11,14,10,12,3,14,1,0,0
