,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,6,10,4,2,8,11,9,13,4,3,9,11,8,6,14,11,1,0,10,9,13,2,8,10,3,7,5,12,1
vessel 1,0,0,8,8,11,7,6,12,12,7,10,7,11,5,14,6,8,13,11,0,8,3,0,0,4,7,11,5,13,8
vessel 2,2,8,0,5,1,3,1,2,10,2,2,7,1,14,9,14,3,0,0,12,9,3,11,6,4,2,0,11,3,14
vessel 3,5,11,3,0,0,13,4,2,0,12,11,6,0,4,1,3,0,7,9,2,9,10,2,6,6,5,9,0,8,7
vessel 4,4,6,7,6,0,0,11,12,13,10,10,10,11,8,2,5,4,4,7,11,7,2,3,2,1,9,2,2,11,10
vessel 5,8,7,9,7,6,0,12,10,6,2,4,1,13,10,9,11,1,11,0,4,9,7,10,1,6,4,13,5,3,9
vessel 6,14,9,5,9,5,5,0,8,9,3,6,12,11,11,13,2,1,13,8,4,1,3,9,1,3,2,9,5,11,11
vessel 7,6,6,0,3,7,9,4,0,0,11,12,12,6,2,1,12,6,11,14,12,5,8,4,3,8,4,6,9,1,11
vessel 8,5,3,7,13,8,4,12,6,0,14,2,13,9,1,8,14,14,4,14,1,9,8,6,13,8,2,1,0,2,2
vessel 9,4,12,9,9,0,8,11,10,5,0,7,4,8,12,5,9,4,12,1,14,12,10,2,8,6,9,3,2,9,0
vessel 10,5,5,9,7,2,2,9,6,6,12,0,4,4,14,11,11,2,8,4,2,10,10,3,9,4,3,8,1,0,14
vessel 11,11,9,1,8,6,3,0,12,2,1,3,0,14,8,4,8,4,10,2,9,8,9,2,0,0,2,11,5,11,7
vessel 12,9,3,10,10,9,9,10,7,1,7,0,0,0,12,8,6,1,5,3,0,12,9,9,5,2,11,7,0,5,9
vessel 13,6,0,10,0,7,5,1,0,0,2,8,0,5,0,14,11,14,7,13,10,7,2,3,9,4,12,4,7,10,12
vessel 14,13,6,3,11,10,7,3,4,5,7,3,13,11,0,0,14,0,12,10,7,7,6,3,12,11,5,10,5,1,9
vessel 15,3,12,5,11,7,10,5,12,9,9,2,1,11,11,13,0,11,0,0,1,4,10,6,11,11,12,4,13,10,10
vessel 16,6,6,12,3,14,3,11,11,5,5,12,12,3,10,2,12,0,9,13,7,3,10,11,4,9,11,3,13,6,7
vessel 17,6,10,1,14,9,4,5,5,7,13,11,12,10,4,11,4,2,0,9,0,1,1,1,1,5,14,7,7,7,1
vessel 18,14,7,13,4,7,2,6,8,6,2,9,2,12,0,11,11,14,9,0,5,2,7,13,9,1,1,7,4,12,4
vessel 19,6,9,2,9,3,1,8,2,13,7,9,12,6,10,0,7,4,5,2,0,1,10,9,0,11,11,12,3,6,14
vessel 20,7,6,2,11,6,0,9,8,6,12,0,11,0,5,0,2,13,6,3,2,0,1,4,4,14,5,9,10,14,2
vessel 21,14,1,10,10,1,6,12,6,9,0,10,11,14,3,2,5,9,9,2,8,7,0,6,12,12,9,9,13,0,5
vessel 22,8,7,13,8,4,6,11,7,3,3,13,7,5,11,10,3,0,3,8,14,5,5,0,4,10,8,0,4,2,6
vessel 23,6,0,14,3,12,2,7,0,11,4,0,8,9,14,6,3,1,8,14,11,6,12,7,0,14,5,14,6,11,10
vessel 24,0,7,2,5,14,5,4,5,8,6,5,14,10,12,7,4,3,2,4,0,10,12,6,4,0,11,5,6,8,3
vessel 25,13,3,6,7,6,5,7,8,1,0,8,10,10,10,11,11,8,10,11,11,0,8,6,6,7,0,5,4,13,12
vessel 26,0,5,1,0,13,5,1,3,13,2,3,8,6,12,0,11,12,2,4,7,7,12,7,10,6,13,0,10,5,12
vessel 27,0,7,13,10,5,5,0,12,1,3,5,7,5,2,8,1,13,7,11,3,14,5,1,6,5,11,4,0,10,4
vessel 28,12,12,4,9,2,8,11,3,14,12,12,11,14,11,6,4,0,8,11,4,14,3,11,1,3,11,12,11,0,12
vessel 29,5,5,8,15,6,8,14,4,13,0,1,14,7,5,5,8,5,6,11,9,13,11,14,11,12,2,14,1,0,0
