,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,11,3,3,8,10,9,13,4,2,9,11,8,6,14,12,0,0,9,9,12,1,8,11,3,7,5,12,1
vessel 1,2,0,8,8,12,9,5,11,12,7,10,5,10,4,12,6,8,14,12,0,7,3,0,0,2,8,11,5,12,9
vessel 2,3,8,0,4,0,3,5,2,9,0,2,9,0,14,8,13,3,0,0,11,9,3,11,4,4,2,0,9,4,14
vessel 3,5,11,3,0,0,13,5,2,1,13,12,6,0,4,0,4,0,7,10,1,9,8,2,6,7,5,8,0,9,8
vessel 4,3,5,7,7,0,0,12,12,14,9,10,10,12,8,2,6,4,3,5,11,6,2,4,2,1,9,3,2,11,10
vessel 5,9,9,9,7,6,0,13,9,5,1,4,0,13,10,9,11,0,11,0,3,9,6,9,0,6,4,13,4,4,9
vessel 6,14,10,6,10,5,7,0,8,9,3,6,14,12,10,13,1,1,13,8,4,3,4,9,1,3,1,6,4,10,12
vessel 7,6,6,0,3,7,8,4,0,0,10,11,12,5,0,2,12,5,12,14,12,5,6,4,3,8,4,5,8,1,13
vessel 8,6,3,5,12,7,4,12,5,0,13,3,13,12,1,7,13,14,3,14,0,10,7,6,12,8,2,1,0,1,1
vessel 9,4,12,9,9,0,8,10,10,5,0,6,5,6,13,4,9,4,11,0,13,12,10,3,8,6,10,2,3,9,0
vessel 10,4,6,9,7,3,1,9,6,7,12,0,4,4,14,11,11,2,8,4,2,11,10,3,9,7,2,8,1,0,13
vessel 11,11,9,1,6,5,3,0,13,1,0,3,0,14,8,4,9,4,7,2,9,10,9,0,1,0,1,11,3,11,7
vessel 12,8,3,11,9,9,9,10,6,0,7,0,2,0,11,8,6,1,4,4,0,12,9,9,5,3,11,6,0,6,7
vessel 13,6,2,12,0,7,4,1,0,0,0,8,0,4,0,14,11,16,8,13,9,8,1,3,9,3,13,4,7,10,10
vessel 14,13,6,3,11,11,5,3,4,5,7,4,13,12,0,0,11,0,10,13,6,7,5,3,14,11,5,10,5,1,10
vessel 15,3,12,6,10,6,10,5,13,9,7,2,0,11,11,13,0,7,0,0,1,4,10,8,12,11,13,4,11,10,9
vessel 16,6,6,11,3,11,4,11,9,5,5,13,9,3,12,3,11,0,9,13,7,3,10,11,7,8,12,3,13,7,6
vessel 17,6,10,1,14,8,4,6,5,7,13,12,12,10,4,11,6,2,0,7,0,3,1,1,1,6,14,10,7,8,1
vessel 18,14,7,11,4,7,0,6,8,6,3,10,4,12,0,11,11,13,9,0,6,2,8,14,8,1,2,8,3,13,5
vessel 19,6,9,2,8,3,0,8,1,13,7,9,13,8,10,0,7,5,4,2,0,1,10,9,0,11,11,12,3,6,13
vessel 20,6,6,3,10,6,0,10,7,7,12,0,12,0,5,0,2,13,6,2,2,0,3,2,4,14,5,9,11,13,0
vessel 21,14,3,10,10,1,5,11,7,10,0,9,11,14,2,1,5,8,6,2,7,6,0,5,11,12,8,8,12,0,5
vessel 22,7,8,13,7,4,6,10,8,0,3,11,7,6,10,10,3,0,1,7,11,4,5,0,4,11,7,0,4,2,6
vessel 23,6,0,13,4,11,2,7,0,11,5,1,8,9,14,6,3,1,6,14,12,5,12,6,0,13,5,14,6,9,11
vessel 24,0,5,2,5,14,6,6,6,8,8,5,13,11,11,7,3,2,1,4,1,9,11,6,3,0,11,6,7,8,4
vessel 25,13,3,8,7,4,6,7,9,1,0,7,9,10,8,10,11,8,10,11,11,0,9,5,5,7,0,5,5,13,12
vessel 26,0,5,2,0,13,5,2,2,13,2,1,9,6,12,0,10,12,1,4,6,7,12,7,10,7,12,0,10,5,12
vessel 27,1,7,13,9,5,4,0,12,0,2,3,7,5,2,8,0,13,7,11,3,13,5,3,5,5,11,6,0,11,3
vessel 28,13,11,4,9,2,8,11,2,13,11,12,12,14,11,6,3,0,6,11,5,14,3,12,4,3,11,11,8,0,12
vessel 29,5,3,7,14,6,7,14,5,12,0,3,14,7,6,5,7,4,6,11,8,12,11,14,10,12,4,14,1,0,0
