,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,6,12,3,2,8,9,8,12,3,0,9,11,7,5,12,12,1,0,9,9,13,2,9,10,1,6,5,11,1
vessel 1,1,0,7,7,11,9,5,11,12,7,10,6,10,5,13,6,8,12,10,0,7,3,0,0,4,8,11,6,12,9
vessel 2,1,8,0,5,1,3,0,3,10,3,1,8,0,13,9,14,1,0,0,11,8,3,11,8,4,3,0,8,4,13
vessel 3,5,11,2,0,0,14,4,2,0,13,11,5,0,4,0,4,0,6,8,0,9,9,1,5,5,4,9,0,7,7
vessel 4,4,6,7,7,0,0,10,12,14,10,9,9,11,8,2,4,4,4,7,10,6,3,3,2,0,9,3,0,9,11
vessel 5,9,8,9,7,6,0,12,8,5,0,4,0,13,10,9,12,1,12,0,5,8,7,10,2,4,5,13,5,5,5
vessel 6,12,8,6,10,4,5,0,7,9,3,6,14,12,11,12,1,1,11,8,4,2,3,8,1,2,2,9,5,11,11
vessel 7,6,4,0,3,7,8,2,0,0,11,12,11,5,1,3,11,2,11,14,13,5,7,3,2,8,4,8,9,2,13
vessel 8,6,3,5,13,7,5,10,6,0,12,1,12,11,2,7,14,14,4,14,1,10,8,6,14,8,0,0,0,2,2
vessel 9,3,12,8,8,0,7,11,10,4,0,6,3,8,11,4,10,4,12,0,13,12,9,2,8,6,8,3,3,8,0
vessel 10,5,3,8,7,3,2,9,6,7,10,0,3,4,13,10,11,2,9,4,0,11,10,3,8,6,2,7,1,0,13
vessel 11,7,9,0,7,6,3,0,13,2,0,4,0,14,8,4,9,4,10,3,9,8,9,1,1,0,0,11,5,11,8
vessel 12,8,3,9,10,8,10,8,7,1,7,0,0,0,12,8,5,1,2,3,0,12,9,9,4,3,11,5,0,6,9
vessel 13,5,0,11,0,7,4,1,0,0,1,8,0,6,0,14,10,13,7,14,10,7,1,3,8,3,13,4,7,8,11
vessel 14,13,6,3,10,11,6,2,4,5,6,4,13,12,0,0,11,0,13,13,7,7,6,1,14,11,3,10,5,0,10
vessel 15,4,11,5,11,7,10,4,13,8,7,1,1,10,10,12,0,11,0,0,1,4,9,8,12,11,13,4,13,10,9
vessel 16,6,6,11,2,14,3,11,10,5,4,13,12,3,11,1,11,0,8,13,7,3,10,10,7,10,12,2,11,7,7
vessel 17,5,10,0,13,7,4,6,3,7,13,12,12,10,4,11,4,2,0,8,0,3,1,1,1,5,14,8,6,6,1
vessel 18,13,8,13,3,6,1,6,9,6,3,11,4,13,0,11,10,14,9,0,5,2,8,13,9,1,2,7,4,12,4
vessel 19,5,9,2,9,3,0,7,2,13,6,9,12,8,11,0,6,3,4,3,0,0,8,9,0,11,11,12,3,5,13
vessel 20,8,6,3,11,7,0,9,8,7,11,0,12,0,5,0,1,11,6,3,1,0,1,2,3,14,5,8,9,14,2
vessel 21,14,3,10,10,1,6,8,7,9,0,10,11,14,3,1,5,9,8,3,7,6,0,6,12,12,8,9,13,0,4
vessel 22,6,8,12,9,4,6,11,8,1,3,13,7,6,11,10,3,0,3,7,13,3,4,0,3,9,8,0,5,2,6
vessel 23,6,0,13,4,12,0,7,0,12,4,0,7,9,13,6,2,1,7,13,12,6,11,7,0,14,5,13,5,11,10
vessel 24,0,4,2,4,13,6,5,6,8,6,4,13,12,11,7,2,3,3,5,1,10,10,7,3,0,10,6,7,7,5
vessel 25,10,3,8,3,6,5,9,9,1,0,8,9,10,10,11,11,8,11,8,11,0,8,4,6,8,0,5,5,14,11
vessel 26,0,4,1,0,12,6,2,3,13,2,3,9,6,12,0,10,12,2,3,8,6,12,6,10,6,12,0,10,5,13
vessel 27,0,7,12,9,5,7,0,13,0,1,4,7,5,3,7,0,13,5,11,2,13,5,3,5,5,10,6,0,11,4
vessel 28,12,12,4,9,1,7,11,3,14,12,11,11,13,10,6,3,0,7,10,4,14,2,10,3,3,11,12,9,0,12
vessel 29,6,2,8,13,5,8,14,5,12,0,3,14,6,5,5,8,5,6,10,9,12,10,13,11,10,3,13,1,0,0
