,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,6,12,4,3,8,10,9,13,4,2,9,12,8,6,14,12,1,0,10,9,13,2,9,11,3,7,5,12,1
vessel 1,1,0,8,8,10,9,6,12,12,7,10,7,11,5,14,6,8,14,12,2,8,2,0,0,4,8,11,5,12,10
vessel 2,2,8,0,5,1,3,1,3,10,3,2,8,0,14,9,14,3,0,0,12,9,1,11,7,4,3,0,9,4,13
vessel 3,5,9,3,0,0,14,5,3,1,14,11,6,0,4,1,4,0,7,10,2,9,10,3,6,5,5,9,0,9,8
vessel 4,5,6,7,7,0,0,12,12,14,10,10,9,11,7,2,6,4,4,5,13,7,3,4,1,0,9,3,0,11,11
vessel 5,9,9,7,6,6,0,13,10,6,2,4,0,13,10,9,12,1,12,0,5,9,7,10,2,6,5,13,5,5,9
vessel 6,14,10,6,10,4,4,0,7,9,1,6,14,12,10,11,2,0,13,7,4,3,4,8,1,3,2,8,5,11,12
vessel 7,5,6,0,3,7,9,4,0,0,13,13,12,6,1,2,12,6,12,14,12,5,8,4,3,8,4,6,9,2,13
vessel 8,6,3,7,13,8,5,12,6,0,13,0,13,12,2,8,14,14,4,14,1,9,8,6,14,8,1,1,0,2,1
vessel 9,2,12,9,9,0,8,11,10,5,0,8,4,8,13,5,10,4,11,1,13,11,10,3,8,6,10,3,0,9,0
vessel 10,5,6,9,7,3,0,9,6,6,12,0,4,4,14,11,11,2,9,3,2,11,10,2,9,7,2,8,0,0,13
vessel 11,11,10,0,8,6,3,0,13,2,0,4,0,12,8,4,9,3,10,2,9,10,8,1,1,0,2,12,5,10,8
vessel 12,9,3,11,10,8,10,10,6,1,6,0,0,0,12,8,6,0,4,3,0,12,9,9,5,3,11,6,0,6,8
vessel 13,6,2,12,1,6,4,1,0,0,1,7,0,6,0,14,11,14,8,14,9,8,1,3,8,3,13,4,7,10,12
vessel 14,13,6,3,11,11,7,3,4,6,7,4,13,12,0,0,14,0,13,13,7,7,7,3,14,11,5,10,5,1,10
vessel 15,4,12,6,10,7,10,5,13,9,9,2,1,10,11,12,0,11,0,0,1,4,10,8,12,10,12,4,13,10,10
vessel 16,6,6,11,4,14,4,11,11,5,4,12,12,3,11,3,12,0,9,13,6,3,10,11,8,10,12,3,13,5,7
vessel 17,6,11,0,14,8,4,6,4,7,13,11,12,10,4,11,4,2,0,9,0,2,1,0,1,6,14,8,7,8,0
vessel 18,13,7,13,4,7,2,6,8,6,3,11,4,13,0,11,13,14,9,0,6,2,7,14,7,1,2,7,3,13,4
vessel 19,6,9,2,9,3,0,8,2,12,9,9,12,8,11,0,7,4,4,3,0,1,10,9,0,12,10,12,3,5,14
vessel 20,7,6,3,11,7,0,9,7,7,12,0,12,0,5,0,1,13,6,3,1,0,3,4,4,14,4,9,10,14,2
vessel 21,14,2,10,10,1,6,12,7,10,0,10,11,14,3,1,5,9,9,3,8,7,0,5,12,12,9,9,12,0,5
vessel 22,10,7,13,9,4,6,11,8,1,3,13,7,6,10,10,3,0,3,8,14,3,5,0,4,9,8,0,4,2,6
vessel 23,7,0,14,4,12,2,7,0,12,5,1,8,9,14,7,3,1,8,14,12,5,11,7,0,14,4,14,6,11,11
vessel 24,0,7,2,3,14,6,6,6,8,8,4,14,12,12,7,4,3,3,5,1,10,12,7,4,0,11,5,7,8,4
vessel 25,12,3,7,7,6,6,7,8,1,0,8,10,9,10,11,11,8,11,11,11,0,9,6,5,7,0,5,5,14,12
vessel 26,0,4,2,1,12,6,1,3,13,3,3,9,6,12,0,11,12,2,3,8,7,12,5,10,7,11,0,10,5,13
vessel 27,0,7,13,10,5,5,0,11,1,1,4,7,5,5,8,1,12,7,11,3,14,5,3,6,5,11,6,0,11,4
vessel 28,12,11,4,9,2,7,11,3,15,13,12,12,14,11,6,3,1,8,11,5,14,3,12,3,2,11,12,9,0,12
vessel 29,6,4,8,14,6,8,16,5,13,0,2,14,6,6,5,8,5,6,11,9,13,11,14,11,12,4,14,0,0,0
