,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,14,7,4,10,13,10,13,5,7,10,14,8,4,14,13,2,2,12,11,16,2,10,12,7,7,5,14,2
vessel 1,4,0,8,10,13,10,9,14,12,8,11,8,12,6,14,9,9,14,15,2,10,3,0,1,4,9,15,8,16,13
vessel 2,4,8,0,6,3,5,1,5,13,4,2,8,2,17,9,15,6,2,1,12,10,5,14,9,6,5,1,9,5,14
vessel 3,11,14,3,0,1,18,5,5,4,16,11,11,0,6,4,3,2,7,10,2,10,10,3,7,6,5,11,1,10,12
vessel 4,7,6,10,8,0,2,13,15,14,10,12,11,13,9,6,8,4,6,8,12,9,4,7,2,3,9,6,4,13,12
vessel 5,11,11,13,8,7,0,13,11,8,3,4,3,13,13,11,12,3,13,0,6,10,8,12,5,7,5,13,5,7,9
vessel 6,15,11,5,11,6,7,0,10,11,6,11,14,13,13,15,4,2,13,10,7,3,6,11,2,6,4,10,6,14,13
vessel 7,8,6,4,4,8,10,7,0,1,12,15,12,7,3,2,15,7,12,15,15,7,9,5,4,11,5,7,11,3,16
vessel 8,7,4,7,19,9,9,13,8,0,14,4,16,14,2,8,16,15,6,14,4,12,10,6,16,10,3,1,2,4,3
vessel 9,5,12,11,10,4,12,11,11,6,0,7,5,8,14,6,11,8,14,3,16,14,10,5,9,9,11,4,6,10,2
vessel 10,7,10,11,8,7,3,14,8,8,13,0,5,6,15,12,11,4,10,5,4,13,11,3,11,7,4,11,1,0,15
vessel 11,12,14,1,11,8,4,2,14,3,3,6,0,14,9,6,9,7,12,2,10,12,10,3,2,1,3,13,5,13,8
vessel 12,10,4,11,11,10,11,10,8,3,9,1,3,0,13,8,9,1,4,4,2,12,9,11,7,5,11,7,2,8,10
vessel 13,8,3,16,2,9,4,2,0,2,5,8,3,10,0,15,12,17,10,16,11,9,1,5,9,6,14,4,10,12,13
vessel 14,13,8,4,13,11,9,3,5,7,8,5,14,14,1,0,15,1,14,17,8,9,9,3,15,14,5,12,7,1,11
vessel 15,5,14,8,13,8,12,7,15,11,11,2,3,13,12,14,0,12,3,1,4,6,10,11,13,11,13,5,13,10,12
vessel 16,7,6,13,4,15,5,13,13,6,6,15,14,4,14,5,12,0,10,15,8,4,12,12,9,11,13,6,14,7,8
vessel 17,8,12,3,15,9,5,7,8,8,14,14,14,11,5,13,5,0,0,9,2,6,2,2,5,6,15,11,10,10,1
vessel 18,14,9,15,5,9,3,7,10,7,3,11,4,13,1,14,12,14,9,0,7,3,8,16,11,2,3,8,5,13,5
vessel 19,8,11,2,10,3,1,12,6,15,8,10,13,8,12,2,10,7,6,4,0,1,10,12,1,15,12,13,4,9,16
vessel 20,9,6,3,13,9,5,9,10,7,12,0,13,2,9,1,3,15,7,3,3,0,3,6,5,15,7,11,15,18,3
vessel 21,15,5,10,13,4,6,12,7,11,3,11,13,16,6,2,8,11,10,4,12,7,0,6,12,13,12,10,14,1,8
vessel 22,11,11,15,12,5,6,12,8,2,5,15,8,7,11,12,4,1,4,10,16,7,5,0,5,11,8,0,7,3,6
vessel 23,7,2,17,6,13,2,10,1,14,5,2,9,10,15,9,3,1,10,17,13,9,13,8,0,17,5,17,6,12,12
vessel 24,1,7,2,6,14,10,8,8,8,9,6,15,12,16,7,5,5,3,6,3,14,13,8,4,0,12,7,9,10,5
vessel 25,14,5,8,8,8,6,10,10,3,0,9,10,10,12,13,13,10,12,12,13,0,12,6,6,7,0,7,5,15,14
vessel 26,2,5,2,4,13,9,5,1,14,4,4,10,6,14,0,13,13,2,4,8,7,12,8,10,8,14,0,10,7,14
vessel 27,1,8,14,12,5,6,2,14,1,4,6,11,6,4,10,3,14,9,13,4,17,5,3,8,8,11,8,0,12,8
vessel 28,13,14,5,11,5,10,13,3,16,13,12,14,15,11,8,4,2,9,12,6,16,4,12,4,4,16,13,8,0,14
vessel 29,7,5,8,14,6,9,14,8,16,2,7,15,7,6,7,9,5,7,11,11,13,12,15,13,12,6,14,2,0,0
