,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,13,4,4,8,12,10,13,6,2,10,14,8,7,14,12,1,2,11,9,13,3,10,12,3,9,5,12,2
vessel 1,2,0,9,9,12,11,6,12,13,9,13,8,11,5,14,7,9,14,12,1,8,5,0,0,6,10,11,7,13,12
vessel 2,3,9,0,5,3,3,2,4,10,3,2,9,1,12,11,14,5,1,1,14,10,3,11,7,5,3,0,9,5,14
vessel 3,6,13,3,0,0,15,5,3,1,15,11,7,0,6,3,5,1,7,10,3,9,10,5,10,8,5,9,1,9,9
vessel 4,5,7,7,8,0,0,12,13,15,12,10,10,14,9,3,6,5,7,7,11,9,5,4,3,4,9,4,3,13,11
vessel 5,11,9,10,7,8,0,13,11,6,3,5,2,14,10,10,12,2,13,4,5,9,7,10,5,8,5,13,5,6,9
vessel 6,15,10,7,10,7,10,0,9,10,3,6,15,13,12,14,4,1,15,8,4,7,4,9,1,4,2,11,6,12,16
vessel 7,9,8,2,4,9,10,4,0,0,12,13,12,8,3,2,14,11,13,15,13,6,8,5,3,8,4,7,12,2,14
vessel 8,7,3,7,13,8,6,13,6,0,15,7,14,12,2,9,17,14,5,14,1,10,8,9,15,9,2,2,0,2,2
vessel 9,4,13,10,9,0,10,11,11,6,0,7,4,9,15,7,12,4,13,2,14,13,11,3,8,6,11,3,4,10,0
vessel 10,7,6,10,7,3,2,9,6,7,14,0,4,4,14,11,11,3,9,6,2,13,10,5,9,8,3,9,3,2,16
vessel 11,12,10,0,9,7,4,1,14,2,0,4,0,14,6,6,10,8,10,3,11,10,10,2,2,0,3,12,6,13,9
vessel 12,10,5,12,10,9,11,11,7,2,7,1,0,0,12,10,7,2,4,4,0,12,10,10,6,3,11,8,0,9,9
vessel 13,6,2,13,2,8,5,2,0,0,3,8,1,6,0,17,12,14,8,15,10,8,4,4,12,3,13,5,9,10,14
vessel 14,17,6,4,13,11,7,3,6,6,7,5,14,15,0,0,14,2,13,16,8,7,7,3,14,13,5,11,5,1,11
vessel 15,6,14,7,11,9,10,5,13,10,12,2,1,12,12,13,0,12,0,1,2,5,11,8,12,12,15,4,15,11,10
vessel 16,6,7,13,5,14,4,13,12,6,5,15,13,5,12,4,12,0,9,14,9,5,10,11,9,10,12,4,13,7,7
vessel 17,6,14,2,14,9,5,6,6,7,15,14,16,10,6,13,5,3,0,11,2,4,1,1,1,6,15,8,7,11,2
vessel 18,14,8,13,4,9,3,6,11,8,4,12,4,13,0,10,13,14,10,0,7,2,9,14,9,1,3,9,5,13,5
vessel 19,6,11,2,10,4,1,10,4,15,7,9,12,10,12,0,9,6,7,5,0,1,10,9,1,13,12,13,3,8,14
vessel 20,7,8,4,12,7,1,9,9,8,12,0,14,0,5,0,4,15,8,3,3,0,4,2,4,14,5,9,14,14,2
vessel 21,14,4,11,10,4,6,14,7,10,2,10,12,13,5,3,5,9,9,3,10,7,0,7,14,13,9,10,14,1,5
vessel 22,9,8,14,9,6,6,12,10,3,5,11,8,6,12,11,4,0,4,10,15,7,6,0,4,12,8,2,8,2,7
vessel 23,8,1,16,4,13,2,7,1,14,4,1,11,9,16,7,3,1,9,14,12,6,12,9,0,14,7,15,6,15,12
vessel 24,2,8,5,6,15,6,6,6,9,10,6,14,12,13,9,4,4,4,6,1,10,14,9,4,0,11,10,8,9,4
vessel 25,14,4,8,8,8,6,7,9,2,2,10,13,12,11,11,12,9,12,13,13,0,9,7,7,7,0,6,6,14,12
vessel 26,0,6,2,0,14,6,3,3,14,3,3,10,7,12,1,13,12,3,6,10,8,12,10,11,8,15,0,10,5,14
vessel 27,1,7,14,10,5,6,0,12,2,5,7,7,5,3,9,2,13,8,11,4,14,6,5,9,6,11,8,0,13,4
vessel 28,13,14,4,9,7,11,13,4,15,15,12,13,15,12,8,5,2,9,13,3,15,4,13,3,4,12,13,9,0,13
vessel 29,6,4,8,14,6,9,14,6,13,0,3,14,7,6,5,10,6,6,11,9,13,13,15,13,12,5,14,2,2,0
