,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,8,11,4,2,8,10,6,13,3,2,9,11,8,5,14,12,0,0,10,9,13,2,8,10,3,6,5,10,0
vessel 1,1,0,8,8,11,8,4,11,12,4,9,7,11,5,14,6,8,13,11,0,8,3,0,0,4,7,11,5,13,7
vessel 2,3,7,0,5,1,0,1,3,9,3,2,6,0,13,7,13,3,0,0,12,8,3,8,6,4,1,0,9,0,13
vessel 3,5,11,3,0,0,14,5,3,1,14,10,4,0,4,1,4,0,6,9,0,7,9,3,5,5,5,9,0,8,8
vessel 4,5,6,7,7,0,0,12,12,14,8,10,7,11,8,1,6,4,4,6,11,7,1,4,1,0,7,3,1,11,10
vessel 5,8,9,8,7,6,0,12,9,5,1,4,0,12,10,9,10,1,10,0,5,8,4,10,2,4,3,13,4,5,9
vessel 6,14,10,5,10,5,4,0,8,9,3,6,14,11,11,14,2,1,12,8,4,3,3,8,1,3,2,7,5,10,12
vessel 7,5,5,0,3,7,9,3,0,0,10,13,12,6,0,2,11,6,12,12,12,5,8,3,2,8,4,5,7,2,13
vessel 8,6,3,7,12,8,5,11,4,0,13,3,13,11,1,8,14,15,3,14,1,8,7,6,13,7,2,1,0,1,2
vessel 9,3,12,9,9,0,7,11,9,4,0,7,3,7,13,4,10,4,11,1,13,10,8,2,8,6,10,3,3,9,0
vessel 10,5,5,9,7,3,2,9,6,7,12,0,4,2,13,10,11,1,7,4,2,9,9,3,9,7,2,8,0,0,14
vessel 11,11,10,1,7,5,3,0,12,1,0,1,0,14,8,3,8,3,10,1,10,9,9,1,1,0,2,11,5,11,8
vessel 12,9,3,11,9,9,9,9,4,1,6,0,0,0,12,8,6,0,4,4,0,11,9,9,4,2,11,3,0,6,9
vessel 13,5,2,12,1,6,3,0,0,0,0,8,0,5,0,14,10,13,8,14,9,6,1,1,9,2,13,4,7,8,12
vessel 14,13,6,3,11,11,7,3,4,5,7,4,12,11,0,0,13,0,12,13,7,6,6,3,13,10,5,10,2,1,8
vessel 15,3,10,4,11,6,10,5,11,8,8,2,1,10,11,13,0,11,0,0,0,4,12,7,12,10,12,4,13,10,9
vessel 16,5,6,10,3,12,4,9,10,5,5,12,12,3,11,2,11,0,9,12,7,2,9,10,6,10,12,2,13,7,7
vessel 17,4,10,0,13,8,2,6,3,7,11,12,12,10,4,9,1,1,0,8,0,3,0,0,1,4,14,8,6,7,1
vessel 18,14,7,15,4,7,1,6,8,6,3,11,3,13,0,10,9,13,7,0,5,2,5,14,9,1,2,8,3,13,5
vessel 19,5,8,2,9,3,1,6,0,12,4,8,12,6,10,0,6,3,5,2,0,1,10,9,0,10,10,12,2,5,14
vessel 20,7,4,1,10,4,0,7,7,7,12,0,12,0,5,0,2,10,4,3,0,0,3,4,1,12,3,8,10,13,0
vessel 21,13,3,7,9,0,4,12,4,8,0,10,10,14,1,0,5,9,9,3,7,5,0,5,9,12,9,9,11,0,4
vessel 22,6,8,13,9,4,6,11,8,0,2,13,6,6,11,10,3,0,3,8,14,5,4,0,2,10,8,0,5,1,5
vessel 23,7,0,13,4,10,0,7,0,10,5,1,7,8,14,6,2,1,7,14,12,6,12,7,0,14,5,14,4,10,9
vessel 24,0,6,1,5,14,6,6,5,8,7,4,13,11,12,6,5,4,2,4,0,10,11,6,4,0,11,6,6,8,2
vessel 25,13,1,5,7,5,5,6,8,1,0,7,8,10,10,11,11,8,11,11,10,0,9,6,6,5,0,3,5,14,12
vessel 26,0,4,2,0,13,6,2,2,13,1,4,7,6,12,0,10,11,0,2,8,6,10,7,8,7,11,0,9,4,11
vessel 27,0,6,12,9,6,5,0,12,1,3,5,6,5,3,8,0,13,6,10,1,13,5,2,5,4,9,5,0,11,4
vessel 28,12,12,4,9,1,7,11,2,14,13,11,12,14,9,6,4,1,8,11,4,13,2,12,3,3,11,11,8,0,10
vessel 29,6,4,7,13,6,8,14,5,12,0,2,14,7,6,5,9,5,4,11,8,15,11,14,11,12,4,14,1,0,0
