,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,6,11,4,3,7,11,8,13,4,3,9,10,8,6,14,12,1,0,10,9,13,2,9,10,2,7,5,11,1
vessel 1,1,0,8,8,14,8,5,12,12,7,10,7,11,5,14,5,8,14,11,0,7,3,0,0,4,7,11,5,13,10
vessel 2,3,8,0,5,0,3,1,2,8,3,2,8,0,13,9,13,3,0,0,12,9,3,10,8,3,3,0,9,4,14
vessel 3,5,9,2,0,0,12,5,2,1,12,11,6,0,4,0,4,0,7,8,2,9,10,3,7,6,5,9,0,9,8
vessel 4,5,6,7,6,0,0,12,12,14,10,10,10,12,7,2,6,4,3,7,11,6,3,4,2,1,7,3,2,11,11
vessel 5,8,9,9,7,6,0,13,10,4,2,4,0,13,7,9,12,1,12,0,5,8,7,10,2,5,5,13,5,5,10
vessel 6,14,10,6,10,5,3,0,7,8,4,5,14,12,11,13,2,0,11,8,2,2,4,8,0,1,2,8,3,11,12
vessel 7,7,5,0,3,7,9,4,0,0,11,13,12,6,1,2,12,5,11,14,11,4,8,4,3,8,4,6,8,2,13
vessel 8,6,3,7,13,8,5,11,5,0,14,1,11,12,2,8,14,13,4,14,0,10,8,6,14,8,2,1,0,0,2
vessel 9,4,12,9,8,0,7,11,10,5,0,7,4,8,13,5,10,4,12,1,13,12,9,3,7,6,10,3,3,9,0
vessel 10,5,5,9,7,3,2,9,6,7,12,0,3,4,14,11,11,2,7,4,0,9,10,2,9,7,3,6,0,2,14
vessel 11,11,10,1,8,6,2,0,13,0,0,4,0,14,9,3,7,3,10,2,9,10,9,2,1,0,2,12,5,13,7
vessel 12,7,3,11,10,9,10,10,6,1,6,0,0,0,11,7,5,0,4,3,0,10,9,9,4,3,10,6,0,6,8
vessel 13,6,2,12,1,7,4,1,0,0,2,8,0,6,0,14,10,13,8,14,10,8,1,1,8,3,13,3,7,9,13
vessel 14,12,6,3,10,11,7,3,4,5,7,4,12,12,0,0,14,0,12,13,7,6,7,2,14,11,5,9,5,1,10
vessel 15,3,12,6,9,7,10,5,12,9,9,2,1,10,11,13,0,9,0,0,1,3,10,7,12,9,13,3,12,10,10
vessel 16,5,6,12,3,14,4,11,10,4,5,12,12,2,12,4,12,0,9,13,8,3,10,11,8,9,11,3,13,7,7
vessel 17,6,11,1,14,9,3,6,4,7,13,12,12,9,4,11,5,1,0,8,0,4,1,1,1,6,14,8,7,8,0
vessel 18,13,6,13,4,7,2,4,9,6,3,10,4,12,0,11,11,14,8,0,6,1,8,13,9,0,2,8,4,12,3
vessel 19,5,9,2,7,3,1,8,2,13,7,8,12,8,11,0,7,3,5,1,0,0,10,9,0,14,11,11,3,6,14
vessel 20,6,5,3,11,6,1,9,7,6,12,0,12,0,5,0,2,13,6,3,2,0,2,4,3,14,5,9,11,13,1
vessel 21,14,3,10,10,1,4,12,6,10,0,9,11,14,2,1,5,9,9,2,8,7,0,6,10,11,9,9,12,0,4
vessel 22,8,7,13,9,4,5,11,8,1,3,13,5,5,11,10,2,0,3,6,14,4,5,0,4,11,8,0,5,0,8
vessel 23,7,0,13,3,11,2,6,0,11,5,1,8,9,14,7,2,0,7,14,12,5,13,7,0,14,5,13,5,11,11
vessel 24,0,7,2,5,14,4,5,6,8,5,5,13,10,12,7,4,3,1,5,0,9,12,7,4,0,10,6,6,8,4
vessel 25,13,3,8,7,6,5,7,8,1,0,8,10,10,10,11,10,8,10,11,11,0,9,5,6,7,0,5,5,14,11
vessel 26,0,5,2,0,13,6,2,3,13,3,3,9,6,12,0,11,12,2,4,7,7,10,7,10,7,13,0,10,5,13
vessel 27,0,7,13,10,4,5,0,12,1,2,4,7,3,3,8,1,13,7,9,3,14,5,3,6,7,11,5,0,11,4
vessel 28,13,11,2,9,1,8,11,1,14,13,11,10,14,11,6,4,1,8,10,5,14,3,12,3,3,10,11,9,0,12
vessel 29,6,2,8,13,6,8,13,3,13,0,3,14,7,6,3,8,5,6,11,9,13,11,14,10,11,3,13,0,0,0
