,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,5,12,3,1,5,10,8,13,4,3,7,10,7,6,13,12,0,0,10,9,13,0,9,10,0,7,3,9,1
vessel 1,1,0,8,9,11,8,4,12,12,7,10,5,11,4,10,6,8,11,12,1,7,3,0,0,4,7,10,5,11,10
vessel 2,3,8,0,4,0,0,0,1,10,3,2,7,0,12,9,13,2,0,0,12,9,0,7,7,2,3,0,8,3,13
vessel 3,5,10,2,0,0,11,5,2,1,12,11,5,0,3,1,2,0,6,10,1,8,10,2,6,4,4,9,0,9,6
vessel 4,4,5,7,6,0,0,11,10,13,9,10,9,10,7,3,5,4,2,7,10,7,1,2,2,1,8,3,1,9,9
vessel 5,8,9,8,7,5,0,13,9,6,2,4,1,12,9,8,11,0,10,0,3,8,5,9,1,5,4,12,2,3,8
vessel 6,14,7,5,10,3,4,0,4,9,1,5,14,12,10,13,0,0,13,8,3,3,3,9,1,0,1,8,5,9,11
vessel 7,6,4,0,1,4,9,3,0,0,11,12,12,5,0,2,10,6,10,13,11,4,8,3,2,8,3,4,10,2,13
vessel 8,3,3,6,12,7,3,11,6,0,13,1,12,8,0,7,13,13,3,14,1,10,7,4,14,6,2,0,0,1,2
vessel 9,3,11,8,9,0,8,9,9,5,0,5,4,7,13,5,8,3,10,0,13,10,10,3,7,5,8,1,2,7,0
vessel 10,3,5,9,6,3,1,8,5,7,11,0,0,1,13,11,10,2,9,4,1,13,9,2,9,5,1,7,0,0,13
vessel 11,11,8,1,8,4,3,0,11,1,0,2,0,12,8,4,8,4,10,1,8,10,9,2,0,0,0,12,4,8,7
vessel 12,8,3,10,8,8,7,9,5,0,7,0,0,0,12,6,4,0,4,2,0,11,7,9,5,2,10,5,0,6,8
vessel 13,6,0,11,0,7,3,0,0,0,0,8,0,6,0,13,11,13,5,12,10,6,0,1,10,0,13,4,5,9,11
vessel 14,12,3,0,11,9,6,3,5,5,7,4,13,11,0,0,14,0,13,10,7,7,5,3,12,11,4,7,5,0,10
vessel 15,4,10,5,10,6,10,3,12,8,8,0,1,11,10,11,0,11,0,0,0,0,9,5,11,10,12,3,11,10,8
vessel 16,6,6,11,3,13,2,9,11,6,4,11,11,2,9,2,12,0,7,13,7,3,10,10,7,8,11,3,13,5,7
vessel 17,5,11,1,14,9,2,2,4,5,13,10,10,10,3,11,3,1,0,9,0,1,1,1,0,6,13,7,4,7,1
vessel 18,12,5,10,4,6,1,6,9,6,3,11,4,12,0,11,10,9,8,0,6,2,7,14,8,1,1,7,3,12,2
vessel 19,6,6,0,8,2,0,6,0,12,6,9,10,8,11,0,6,5,5,2,0,1,10,8,0,11,10,12,0,4,13
vessel 20,7,4,1,7,7,0,8,5,7,9,0,11,0,3,0,1,11,5,2,2,0,0,1,1,13,5,8,11,11,1
vessel 21,12,3,9,9,0,6,12,6,10,0,9,10,11,3,1,5,7,7,2,7,6,0,4,12,11,7,7,11,0,4
vessel 22,4,8,13,9,3,5,10,7,1,1,12,5,4,10,10,2,0,2,5,12,5,4,0,2,9,7,0,5,0,4
vessel 23,6,0,12,4,11,1,6,0,13,3,0,6,8,13,5,1,0,6,13,10,5,12,6,0,13,4,13,5,10,11
vessel 24,0,6,1,4,14,3,6,4,7,8,2,13,11,12,6,2,5,2,3,1,10,12,7,2,0,11,6,4,8,2
vessel 25,11,3,6,6,6,4,5,8,1,0,7,9,9,7,8,11,7,9,11,10,0,8,6,5,7,0,5,3,12,11
vessel 26,0,5,1,0,11,6,0,1,11,2,2,9,6,11,0,9,11,1,4,8,7,11,5,10,7,13,0,9,3,12
vessel 27,0,7,11,10,5,5,1,11,1,3,4,7,3,3,6,0,12,5,9,2,12,5,3,3,4,10,5,0,10,4
vessel 28,13,11,3,9,1,7,10,3,14,12,12,10,13,10,4,3,0,7,9,5,13,2,12,2,0,10,11,9,0,11
vessel 29,6,4,8,12,3,8,12,4,12,0,3,11,6,6,4,9,4,6,11,7,13,9,13,11,11,4,13,1,0,0
