,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,6,11,4,3,8,10,7,13,4,3,8,11,5,4,14,10,1,0,9,7,13,2,8,10,1,4,3,11,0
vessel 1,0,0,7,8,10,6,5,10,11,8,9,4,10,5,13,5,6,15,10,0,7,3,0,0,4,8,11,6,13,10
vessel 2,2,8,0,5,0,2,1,1,9,0,1,7,0,12,9,13,3,0,0,10,10,2,10,6,4,3,0,9,3,14
vessel 3,3,9,3,0,0,13,4,3,0,13,10,5,0,2,1,4,0,7,9,1,9,10,0,5,6,0,8,0,7,6
vessel 4,1,5,6,7,0,0,12,11,13,10,9,8,12,7,3,6,2,1,4,10,7,2,3,0,0,7,2,0,11,11
vessel 5,8,8,8,4,4,0,12,8,6,0,2,0,13,9,8,10,1,11,0,3,8,4,10,0,2,4,13,5,4,8
vessel 6,13,10,2,8,5,5,0,8,6,1,5,12,10,11,13,1,0,12,8,3,3,0,8,0,0,0,8,5,10,12
vessel 7,2,4,0,2,7,7,3,0,0,11,13,9,4,1,2,9,5,11,13,13,2,7,2,0,7,3,6,9,2,12
vessel 8,6,2,7,12,7,2,10,3,0,13,1,13,9,2,7,11,14,4,12,1,10,5,5,14,5,1,1,0,1,0
vessel 9,3,11,7,7,0,5,10,9,4,0,6,3,8,12,4,10,2,11,0,11,12,10,1,6,6,9,3,2,7,0
vessel 10,4,6,9,6,3,2,8,6,7,11,0,1,2,14,10,11,2,9,3,2,11,10,2,9,7,2,8,0,0,12
vessel 11,10,9,0,7,5,2,0,13,1,0,4,0,14,8,3,7,2,9,1,9,9,9,1,0,0,2,10,5,11,7
vessel 12,8,3,9,9,9,9,8,7,0,6,0,0,0,12,8,4,0,3,4,0,11,9,8,3,1,11,7,0,6,7
vessel 13,4,1,11,0,4,4,0,0,0,1,8,0,5,0,13,13,13,6,14,9,6,0,2,8,2,12,4,4,8,11
vessel 14,10,6,2,8,10,7,3,3,3,7,0,12,12,0,0,13,0,12,16,5,5,1,3,12,10,4,9,4,1,10
vessel 15,3,10,3,9,7,9,2,11,8,9,0,1,8,10,10,0,9,0,0,0,2,10,6,11,10,13,4,12,7,6
vessel 16,3,6,9,3,12,3,11,10,4,4,12,11,0,11,3,11,0,8,12,7,3,9,11,5,9,12,3,9,5,5
vessel 17,5,10,1,12,8,4,6,4,7,12,11,11,9,2,13,2,0,0,8,0,3,1,1,0,5,12,6,7,8,0
vessel 18,11,7,12,4,5,2,5,9,5,2,10,4,10,0,11,10,14,9,0,3,0,5,12,9,0,2,6,4,6,4
vessel 19,6,5,0,8,2,1,5,1,10,4,8,8,8,9,0,6,4,3,3,0,0,10,8,0,11,9,12,2,4,14
vessel 20,6,5,3,10,5,0,9,6,7,10,0,11,0,4,0,2,12,5,2,0,0,2,3,1,13,1,6,10,11,1
vessel 21,13,3,9,8,1,6,10,7,9,0,9,11,12,2,1,4,8,6,3,7,6,0,4,11,10,7,9,13,0,5
vessel 22,7,8,12,8,1,3,9,8,0,3,11,7,4,8,10,2,0,0,8,14,4,3,0,4,11,5,0,5,0,5
vessel 23,7,0,14,3,11,2,6,0,12,4,0,8,8,12,5,1,0,8,14,12,6,10,7,0,14,5,13,6,11,10
vessel 24,0,3,1,2,13,6,6,7,7,8,4,14,12,12,5,3,2,1,5,0,10,11,3,3,0,11,6,6,7,3
vessel 25,10,3,8,7,5,6,7,6,1,0,6,10,7,8,11,7,8,11,10,10,0,9,6,6,6,0,4,4,13,12
vessel 26,0,5,1,0,11,5,2,2,12,2,0,9,6,11,0,9,11,0,3,8,7,11,6,10,6,11,0,10,5,13
vessel 27,0,5,12,9,4,3,0,12,1,3,4,6,5,3,5,0,13,6,10,2,12,4,3,6,1,9,5,0,11,3
vessel 28,11,8,3,8,2,8,10,3,12,13,10,10,14,11,2,3,0,8,10,0,14,3,11,3,1,10,12,8,0,10
vessel 29,4,0,7,14,5,7,14,5,12,0,3,14,4,4,5,9,3,4,10,7,10,10,12,11,11,2,12,0,0,0
