,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,13,4,3,8,12,9,15,4,3,10,13,8,6,16,12,1,2,11,9,13,3,9,12,4,8,5,12,0
vessel 1,2,0,8,10,13,9,6,13,13,7,11,8,12,7,14,5,8,14,14,0,8,3,1,0,4,8,12,6,13,11
vessel 2,3,10,0,5,1,3,1,3,11,3,2,9,0,15,9,15,3,1,1,13,9,4,11,9,5,3,1,11,4,14
vessel 3,5,11,3,0,1,15,7,3,2,15,10,6,0,6,2,4,1,9,11,4,9,13,3,6,7,6,7,0,9,8
vessel 4,5,7,8,7,0,1,13,12,14,12,11,8,13,9,5,6,5,5,8,13,7,4,4,2,2,9,4,5,12,11
vessel 5,9,9,10,7,6,0,13,10,7,4,5,1,13,10,10,12,1,13,0,5,10,8,11,2,6,5,13,6,6,10
vessel 6,14,11,7,11,5,5,0,11,9,3,7,14,13,12,14,2,1,16,9,6,6,4,9,1,3,3,9,5,11,14
vessel 7,7,6,0,3,7,9,4,0,0,13,13,14,6,2,3,12,7,12,14,14,6,8,6,5,9,4,6,9,2,13
vessel 8,8,3,7,13,8,6,12,7,0,14,3,14,11,2,9,15,15,4,15,1,10,8,6,14,8,2,1,0,3,2
vessel 9,4,12,9,10,0,8,12,11,7,0,7,5,8,13,6,11,4,12,3,15,12,11,4,8,7,12,3,4,12,0
vessel 10,7,7,9,7,3,2,9,6,8,12,0,3,5,15,11,12,3,9,4,2,11,10,4,9,8,4,8,4,0,14
vessel 11,12,11,2,10,7,4,1,13,2,1,6,0,15,8,6,10,5,12,3,12,11,10,3,1,0,2,13,5,13,9
vessel 12,10,3,11,10,9,11,12,7,1,9,0,2,0,12,8,7,1,4,5,2,13,9,9,8,3,12,6,0,8,11
vessel 13,7,2,13,1,7,4,2,1,0,2,8,0,7,0,16,11,14,9,15,10,9,1,3,10,3,13,4,8,12,15
vessel 14,13,7,3,14,11,7,5,5,5,7,4,15,14,1,0,14,0,14,15,8,7,7,3,15,11,6,11,7,2,10
vessel 15,5,14,6,12,9,10,5,14,11,10,2,1,11,11,13,0,12,0,0,1,4,11,8,12,12,14,5,14,10,11
vessel 16,7,6,13,5,16,5,12,12,5,5,13,12,3,12,3,12,0,10,13,9,5,10,10,9,10,13,3,13,7,7
vessel 17,6,12,1,14,9,4,7,6,7,14,14,13,11,4,13,7,2,0,9,0,5,2,0,1,8,15,9,7,8,2
vessel 18,15,7,13,4,9,2,6,9,5,3,11,6,15,1,12,12,14,10,0,6,2,8,14,9,0,3,8,6,13,7
vessel 19,7,9,4,9,3,2,8,3,14,8,11,12,8,11,3,7,6,5,4,0,1,10,10,0,14,14,13,3,6,15
vessel 20,8,6,4,12,7,0,10,8,9,13,1,13,0,5,2,2,14,6,3,3,0,4,4,4,16,5,9,12,14,2
vessel 21,14,4,12,11,1,6,12,7,10,1,11,11,15,3,2,7,10,10,3,8,7,0,7,12,13,9,10,13,1,6
vessel 22,11,8,14,9,4,7,11,8,1,4,13,7,6,12,11,3,0,3,6,15,7,5,0,4,11,8,3,8,3,6
vessel 23,8,0,14,4,13,2,7,0,13,7,2,9,9,14,8,3,2,8,15,13,7,12,7,0,15,8,14,6,12,11
vessel 24,2,7,3,5,15,7,7,7,8,9,6,14,12,14,7,5,3,3,5,2,11,12,6,4,0,11,7,7,8,4
vessel 25,15,3,9,7,6,6,8,10,3,0,8,10,10,10,11,11,8,13,14,11,0,9,4,8,8,0,7,6,14,12
vessel 26,0,5,2,0,14,7,2,3,14,3,5,9,6,12,0,11,12,2,4,8,7,12,8,12,7,14,0,10,5,15
vessel 27,1,8,14,11,5,5,0,12,1,3,5,7,5,1,8,1,13,7,12,3,14,6,4,6,6,13,6,0,12,5
vessel 28,14,13,4,9,2,9,12,5,15,13,12,15,14,12,8,4,1,8,11,5,16,3,14,4,5,11,15,9,0,12
vessel 29,6,4,9,15,7,9,14,6,13,0,3,15,7,7,6,10,5,6,11,9,15,12,14,11,12,4,14,1,0,0
