,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,12,3,3,7,11,9,13,2,3,8,12,7,5,12,12,0,0,8,9,13,1,9,11,1,6,4,12,0
vessel 1,0,0,8,9,11,8,5,10,11,6,10,7,9,4,13,5,6,11,9,0,8,3,0,0,2,6,11,4,10,10
vessel 2,2,8,0,5,1,3,0,3,9,0,1,8,0,14,9,14,1,0,0,8,9,3,10,5,4,4,0,9,3,13
vessel 3,2,10,2,0,0,13,4,0,0,13,10,6,0,2,0,3,0,7,9,1,8,7,3,3,4,4,8,0,7,7
vessel 4,4,5,6,7,0,0,12,12,14,10,8,8,11,6,3,6,3,4,7,11,5,3,2,1,0,8,3,1,10,9
vessel 5,8,8,6,7,5,0,13,7,6,2,4,0,13,9,8,11,0,8,0,4,7,7,10,2,6,5,13,5,3,8
vessel 6,13,8,4,10,3,5,0,8,8,2,6,14,11,9,11,1,0,12,7,4,1,4,9,0,2,1,8,4,10,12
vessel 7,6,6,0,1,5,9,3,0,0,10,13,11,6,0,1,11,4,11,12,13,3,7,1,2,7,3,4,9,1,9
vessel 8,6,3,7,12,7,3,12,6,0,14,3,13,11,0,8,14,11,3,13,0,8,7,6,14,7,1,0,0,2,0
vessel 9,3,11,7,8,0,8,10,9,4,0,7,3,6,12,4,8,2,11,0,12,12,10,2,6,6,8,3,2,8,0
vessel 10,5,4,9,7,1,0,7,6,3,10,0,4,3,14,10,11,0,9,4,0,10,10,3,3,4,3,6,0,0,13
vessel 11,8,9,1,8,5,1,0,12,2,0,3,0,11,7,4,8,1,9,1,5,8,7,1,2,0,0,10,5,10,8
vessel 12,9,3,9,10,7,9,9,6,1,7,0,0,0,12,8,6,0,3,2,0,12,9,8,4,1,11,2,0,5,9
vessel 13,5,1,10,0,6,2,0,0,0,1,4,0,5,0,13,11,13,7,12,7,8,0,0,7,1,12,4,7,9,10
vessel 14,13,4,3,9,9,6,2,3,3,6,2,10,11,0,0,13,0,12,12,7,6,7,3,13,10,4,10,4,1,10
vessel 15,4,12,3,10,5,5,5,13,7,7,1,0,11,9,13,0,10,0,0,0,4,9,8,12,12,12,3,12,9,9
vessel 16,3,3,10,3,13,4,9,10,5,1,12,11,3,11,3,12,0,8,10,7,1,10,7,8,8,9,2,10,5,7
vessel 17,6,10,1,13,9,4,6,5,7,13,10,12,9,3,10,2,0,0,8,0,4,1,0,0,6,14,6,7,7,0
vessel 18,13,7,13,1,5,1,6,5,4,3,11,2,12,0,11,11,12,8,0,4,1,8,13,9,0,4,6,3,12,5
vessel 19,6,8,1,7,1,0,7,2,11,4,9,12,7,11,0,7,3,4,4,0,1,10,9,0,11,9,9,2,5,13
vessel 20,7,4,2,10,6,0,9,6,6,12,0,12,0,2,0,0,12,6,3,0,0,3,3,2,14,3,8,9,12,0
vessel 21,12,2,9,8,0,4,10,7,9,0,8,10,13,1,0,5,7,8,3,7,4,0,7,11,12,6,8,13,0,4
vessel 22,7,5,12,9,2,3,9,7,1,2,12,5,3,11,10,2,0,2,8,12,5,4,0,4,9,6,0,4,1,5
vessel 23,6,0,11,1,11,0,5,0,12,4,0,7,6,13,4,2,0,8,12,11,5,11,7,0,13,5,15,5,11,11
vessel 24,0,6,0,4,14,5,7,6,7,8,5,12,11,12,6,2,2,1,4,0,9,11,5,4,0,10,5,6,7,4
vessel 25,12,2,7,7,6,6,5,6,0,0,8,9,10,10,11,11,8,10,10,11,0,8,4,3,5,0,3,4,14,11
vessel 26,0,5,0,0,12,5,1,2,12,1,2,8,4,11,0,11,12,0,1,6,5,12,6,9,5,9,0,9,4,13
vessel 27,0,6,12,10,4,4,0,10,0,0,4,7,5,3,6,0,13,6,8,2,11,4,2,6,3,10,5,0,11,3
vessel 28,12,12,2,8,1,7,9,3,14,12,11,11,14,11,4,3,1,7,11,3,14,2,8,1,1,11,12,9,0,11
vessel 29,6,3,7,14,6,8,12,5,11,0,3,13,6,5,1,6,5,6,9,7,9,10,13,10,11,4,12,1,0,0
