,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,12,4,3,8,10,9,13,4,3,9,12,8,6,14,12,0,0,10,9,11,1,6,11,3,7,5,9,0
vessel 1,2,0,8,9,12,8,6,12,11,7,10,7,11,3,13,6,7,14,12,1,7,2,0,0,4,8,10,6,11,10
vessel 2,3,8,0,4,0,3,0,3,9,1,1,8,0,14,8,14,3,0,0,12,8,2,10,6,3,2,0,9,4,13
vessel 3,5,11,1,0,0,14,5,3,1,13,11,6,0,3,1,4,0,7,10,2,10,10,3,6,6,5,9,0,8,7
vessel 4,5,6,7,7,0,0,12,12,14,10,9,10,10,8,2,6,4,4,7,10,4,2,4,2,1,9,3,2,11,11
vessel 5,9,8,7,7,6,0,12,10,4,2,3,0,11,10,9,12,1,12,0,5,9,5,10,1,6,4,13,5,5,9
vessel 6,14,9,6,10,5,5,0,7,9,3,5,12,12,11,13,1,0,13,8,4,1,3,9,0,3,2,9,5,10,11
vessel 7,7,6,0,3,6,9,2,0,0,11,13,11,6,1,2,12,6,12,12,13,4,7,4,3,7,4,6,9,2,13
vessel 8,6,1,6,13,7,5,10,4,0,14,3,12,11,2,9,12,13,4,14,0,10,8,4,14,8,1,1,0,2,2
vessel 9,3,12,8,8,0,8,11,10,4,0,7,3,8,9,5,10,3,12,0,13,12,10,3,8,6,9,3,1,9,0
vessel 10,5,6,9,9,3,0,9,4,7,11,0,3,4,13,11,11,1,9,4,2,10,10,2,8,7,3,8,1,0,14
vessel 11,11,8,1,7,6,2,0,13,2,0,4,0,14,6,3,9,4,10,2,9,10,8,2,0,0,1,12,5,11,6
vessel 12,9,2,11,8,9,10,10,6,0,5,2,0,0,12,7,5,0,3,4,0,12,9,7,5,1,11,6,0,6,9
vessel 13,5,2,14,0,6,3,1,0,0,2,7,0,5,0,13,10,14,7,13,8,8,0,3,8,2,13,2,6,8,11
vessel 14,13,6,1,9,9,7,3,3,4,7,3,13,11,0,0,14,0,13,13,7,7,7,3,13,11,5,10,2,1,10
vessel 15,3,12,6,11,7,10,4,13,8,9,2,1,11,11,13,0,11,0,0,1,3,10,6,12,11,13,4,13,9,10
vessel 16,6,6,12,2,14,4,11,10,5,4,13,11,3,12,3,12,0,8,13,8,1,10,11,8,10,12,3,12,7,6
vessel 17,5,11,0,14,8,3,6,5,6,12,12,12,10,2,11,4,2,0,8,0,3,1,1,0,6,14,8,5,8,1
vessel 18,14,7,12,4,7,1,6,8,6,3,11,4,13,0,10,11,12,9,0,5,1,8,12,9,0,1,8,4,12,5
vessel 19,5,9,2,7,3,1,7,2,11,7,8,11,6,11,0,7,3,5,3,0,1,9,9,0,12,10,12,3,6,13
vessel 20,7,6,3,11,4,0,9,7,6,12,0,12,0,4,0,2,12,6,2,1,0,3,4,4,14,5,9,11,14,2
vessel 21,13,3,10,8,0,5,12,7,9,0,8,10,14,3,1,3,8,9,3,8,7,0,4,12,11,8,8,13,0,6
vessel 22,8,8,12,8,4,5,11,8,0,3,13,7,6,10,10,3,0,2,8,13,5,3,0,4,9,8,0,5,2,6
vessel 23,5,0,10,2,12,2,7,0,12,5,1,8,6,14,7,1,1,8,14,10,6,11,6,0,14,5,14,5,10,11
vessel 24,0,7,2,5,14,5,6,6,7,6,3,14,12,12,7,3,2,2,3,0,10,13,7,4,0,11,5,7,8,4
vessel 25,11,3,8,6,6,5,5,9,1,0,8,8,10,10,10,10,8,10,10,9,0,9,6,5,6,0,6,5,14,12
vessel 26,0,5,2,0,12,4,1,1,12,3,2,8,6,12,0,8,11,0,3,7,6,12,6,10,6,13,0,10,5,12
vessel 27,0,6,12,7,2,5,0,12,0,3,5,6,5,3,8,0,11,6,10,2,15,5,3,5,3,11,6,0,10,2
vessel 28,13,12,4,9,2,8,10,3,14,13,12,11,14,11,6,4,0,6,11,4,14,1,12,3,1,11,12,9,0,10
vessel 29,6,4,7,14,6,8,14,4,13,0,3,14,5,4,5,9,5,6,10,9,13,11,14,8,12,3,14,1,0,0
