,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,12,4,2,8,10,9,12,4,3,9,12,7,6,14,12,1,0,10,8,13,2,9,11,2,6,5,10,0
vessel 1,2,0,8,8,12,9,5,11,10,7,9,7,11,5,14,6,7,14,12,0,5,2,0,0,4,8,9,4,12,10
vessel 2,3,7,0,5,1,2,0,1,10,0,1,8,0,14,9,11,3,0,0,11,9,3,11,7,4,3,0,6,3,12
vessel 3,5,9,4,0,0,13,4,3,0,12,9,5,0,3,1,4,0,7,8,2,9,10,3,6,6,5,8,0,9,7
vessel 4,5,6,5,7,0,0,11,12,14,10,10,10,12,8,3,4,4,4,6,11,7,2,4,1,1,9,3,0,11,11
vessel 5,8,9,8,7,5,0,12,10,6,0,3,1,13,10,9,11,1,12,0,5,8,7,10,2,6,5,13,4,4,7
vessel 6,14,9,6,9,5,4,0,7,9,3,6,14,12,9,13,2,1,13,9,4,3,4,9,0,3,2,8,4,10,12
vessel 7,4,6,0,3,7,9,4,0,0,11,13,12,5,1,0,12,5,12,14,13,4,7,4,1,6,3,6,9,0,13
vessel 8,6,2,6,13,8,5,12,6,0,13,3,13,12,3,6,13,14,3,14,1,9,6,6,14,6,2,1,0,2,1
vessel 9,4,12,9,9,0,8,10,10,5,0,7,4,7,12,4,9,4,12,0,12,12,9,3,7,5,9,3,3,8,0
vessel 10,5,5,7,6,2,4,9,6,7,10,0,3,4,13,11,11,2,9,4,1,10,10,3,8,7,3,6,1,0,14
vessel 11,10,8,1,7,5,1,0,13,2,0,4,0,14,6,2,9,4,10,2,8,9,7,2,1,0,1,9,5,10,6
vessel 12,9,3,11,9,9,10,9,6,0,7,0,0,0,11,6,5,1,4,4,0,11,9,7,5,3,11,6,0,6,8
vessel 13,6,0,11,1,6,5,0,0,0,1,7,0,6,0,14,11,13,8,14,10,8,0,4,6,2,13,2,7,10,12
vessel 14,13,6,2,11,11,7,3,3,5,7,3,13,12,0,0,14,0,11,13,7,7,7,3,14,11,5,9,5,0,10
vessel 15,4,10,5,10,6,8,5,12,9,9,2,1,10,11,13,0,10,0,0,1,3,9,8,11,10,13,3,13,8,9
vessel 16,5,5,12,3,13,4,11,10,5,5,12,11,3,12,3,9,0,8,13,8,3,10,11,8,10,13,3,13,7,6
vessel 17,6,11,1,12,8,3,6,5,7,13,11,11,8,4,11,5,2,0,9,0,3,1,0,0,6,14,9,8,7,3
vessel 18,14,6,12,3,7,2,6,9,4,3,11,4,13,0,9,9,14,9,0,5,2,8,14,8,1,2,7,4,13,4
vessel 19,5,9,2,8,2,1,8,1,13,6,9,12,5,11,0,8,5,3,2,0,1,9,9,0,12,11,10,2,6,14
vessel 20,7,6,3,11,6,0,9,7,7,11,0,12,0,4,0,2,12,4,3,2,0,3,4,3,14,5,9,11,11,2
vessel 21,13,2,10,10,1,3,12,7,10,0,10,11,14,2,1,5,8,9,3,8,6,0,6,12,12,9,8,11,0,5
vessel 22,8,7,12,7,4,5,10,6,0,2,11,7,5,10,10,3,0,2,8,14,4,4,0,4,11,7,0,4,1,6
vessel 23,7,2,13,4,13,1,6,0,13,5,0,8,8,13,7,3,1,8,14,12,5,12,5,0,14,3,14,5,11,11
vessel 24,0,7,2,4,14,5,6,5,8,6,5,14,12,11,7,2,3,3,5,1,10,12,6,3,0,11,6,7,8,4
vessel 25,12,3,6,6,5,6,6,9,1,0,8,10,10,10,10,11,8,11,11,11,0,9,6,5,7,0,4,5,12,12
vessel 26,0,4,1,0,12,6,1,3,12,0,3,8,6,12,0,11,11,2,3,8,7,11,7,10,7,12,0,10,4,13
vessel 27,0,7,12,8,3,4,0,12,0,3,5,7,6,1,8,1,12,7,11,3,14,5,3,5,5,11,6,0,11,0
vessel 28,13,12,4,9,2,8,10,2,13,11,12,12,13,10,5,4,0,8,10,5,14,2,11,3,3,8,11,9,0,12
vessel 29,6,3,7,12,6,6,14,5,13,0,2,14,7,5,4,9,5,5,11,8,12,10,12,11,12,4,13,0,0,0
