,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,4,11,3,2,7,11,8,10,3,3,7,12,6,6,10,11,0,0,10,8,11,1,10,9,3,7,4,12,1
vessel 1,2,0,8,8,12,8,5,11,10,5,9,7,11,3,14,6,8,13,11,0,5,2,0,1,3,7,11,5,10,9
vessel 2,1,7,0,3,0,3,0,3,9,2,2,6,0,13,8,13,2,0,0,11,9,3,11,6,4,1,0,8,4,14
vessel 3,3,11,3,0,0,11,5,2,1,13,11,5,0,2,0,3,0,7,9,2,8,10,1,5,4,4,6,0,7,6
vessel 4,4,6,7,7,0,0,11,12,14,10,9,9,11,6,2,4,3,2,6,11,6,2,3,1,0,7,2,1,9,10
vessel 5,9,7,9,6,5,0,12,7,4,2,3,0,11,9,9,11,0,11,0,2,8,6,9,1,6,5,9,5,2,8
vessel 6,14,10,5,10,4,5,0,7,8,3,6,13,10,9,12,1,1,10,8,3,2,4,9,0,3,1,9,4,9,11
vessel 7,7,4,0,2,5,9,3,0,0,9,12,11,6,0,2,12,6,11,14,12,3,4,2,3,8,1,6,6,2,12
vessel 8,5,2,6,12,5,5,10,4,0,13,1,12,12,1,7,13,13,4,14,0,9,7,5,8,5,0,1,0,1,1
vessel 9,3,10,8,7,0,5,10,9,5,0,6,4,6,10,4,10,3,11,0,13,10,8,2,6,5,9,2,1,9,0
vessel 10,5,6,9,7,2,0,8,5,6,8,0,3,2,14,10,9,2,8,4,2,8,10,1,9,6,1,5,0,0,13
vessel 11,11,9,0,5,5,3,0,12,2,0,2,0,13,6,3,9,4,10,0,4,10,9,0,0,0,0,12,5,8,8
vessel 12,8,2,11,8,8,9,9,7,0,6,0,0,0,11,7,6,0,4,4,0,12,8,9,4,1,10,6,0,4,9
vessel 13,5,2,10,1,7,3,0,0,0,0,8,0,5,0,12,10,14,6,13,9,7,0,2,8,2,11,3,7,6,9
vessel 14,13,6,2,9,9,5,3,1,4,4,3,11,11,0,0,13,0,13,12,6,7,7,1,12,10,4,9,4,0,10
vessel 15,4,12,5,9,4,8,3,12,8,9,2,1,10,11,13,0,10,0,0,1,4,10,6,11,8,13,3,11,8,9
vessel 16,6,5,12,3,13,4,11,10,5,4,12,12,2,12,2,12,0,8,12,7,1,10,9,6,9,9,3,12,7,5
vessel 17,6,9,0,13,9,2,6,5,7,13,11,11,10,0,9,4,1,0,9,0,1,1,1,1,2,11,7,4,8,1
vessel 18,14,6,13,3,6,0,4,9,6,1,10,2,11,0,11,11,13,9,0,6,1,7,14,9,1,1,8,3,13,4
vessel 19,4,7,0,7,3,0,7,2,13,5,9,8,8,11,0,7,4,3,1,0,0,10,7,0,12,10,12,1,5,11
vessel 20,5,2,3,9,5,0,7,8,7,12,0,11,0,4,0,2,15,6,0,2,0,0,4,3,14,4,9,11,13,2
vessel 21,14,2,9,8,1,6,11,7,10,0,9,11,13,3,0,4,8,7,3,5,5,0,5,11,12,7,9,13,0,4
vessel 22,8,8,11,9,1,6,11,7,0,1,12,5,6,11,5,1,0,3,8,15,4,4,0,3,11,5,0,5,1,6
vessel 23,7,0,14,3,11,1,5,0,12,4,1,8,9,13,7,3,0,8,15,12,1,12,5,0,14,1,12,5,11,11
vessel 24,0,6,0,3,14,5,5,4,8,7,3,14,12,11,7,4,1,3,5,1,8,12,7,4,0,11,6,5,6,3
vessel 25,11,3,9,7,5,4,5,8,0,0,9,10,9,8,10,10,8,11,10,10,0,7,5,6,6,0,4,6,13,12
vessel 26,0,3,0,0,12,5,0,3,13,2,1,8,6,12,0,10,11,0,4,6,6,12,5,10,6,13,0,10,3,12
vessel 27,0,6,13,7,4,2,0,10,1,3,4,7,5,2,8,0,12,7,11,2,14,4,1,6,4,11,6,0,10,4
vessel 28,12,11,4,9,1,6,11,2,13,13,12,8,13,10,4,4,1,6,11,4,14,1,11,1,3,11,12,7,0,11
vessel 29,4,2,8,12,6,6,14,4,13,0,0,13,5,6,5,8,4,4,11,9,13,10,13,9,9,4,14,1,0,0
