,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,9,13,4,4,8,11,10,14,5,4,9,14,12,9,17,12,2,0,10,9,15,2,11,12,6,11,6,17,1
vessel 1,2,0,8,9,16,10,8,14,12,8,11,7,12,5,15,7,8,16,13,2,9,4,2,1,4,8,13,7,13,10
vessel 2,3,11,0,6,2,5,2,3,13,3,2,13,0,15,10,15,6,2,0,12,10,4,12,8,6,5,1,12,5,16
vessel 3,9,12,5,0,2,16,8,9,1,17,12,9,2,5,1,4,0,9,11,4,14,10,3,7,8,6,11,1,9,10
vessel 4,7,7,9,9,0,0,15,13,15,12,11,12,14,9,4,6,4,6,9,10,7,4,4,4,4,10,5,4,14,15
vessel 5,9,10,10,8,7,0,14,12,6,4,5,4,15,10,11,12,1,12,2,6,9,9,10,2,7,7,15,6,7,10
vessel 6,14,10,6,12,8,5,0,8,10,6,8,14,13,13,13,2,3,13,10,5,3,4,9,4,3,2,9,7,12,15
vessel 7,7,7,3,4,7,9,4,0,3,12,14,13,10,2,2,12,7,14,15,16,6,8,6,3,11,4,8,9,1,14
vessel 8,7,5,9,13,9,6,14,9,0,15,4,16,13,4,8,14,14,4,15,1,11,8,6,15,10,4,1,0,4,3
vessel 9,4,14,9,11,2,9,12,13,9,0,11,7,8,14,5,13,9,12,1,14,12,10,5,9,9,11,4,3,10,2
vessel 10,9,8,9,8,3,4,10,6,7,12,0,4,6,16,9,11,3,9,4,5,11,12,2,9,8,5,10,5,2,15
vessel 11,15,13,3,7,7,6,1,13,3,1,4,0,14,9,5,10,5,14,5,9,11,10,2,1,2,2,13,6,12,9
vessel 12,11,5,13,11,11,11,12,9,1,8,1,1,0,13,10,6,1,2,5,1,15,10,9,6,4,12,6,0,6,9
vessel 13,8,3,15,3,10,4,3,0,0,4,8,2,8,0,14,12,17,8,15,13,9,4,4,9,4,13,4,7,12,14
vessel 14,13,8,3,13,11,8,4,5,5,7,4,14,12,0,0,14,3,15,14,9,8,7,7,14,15,6,11,6,4,11
vessel 15,3,12,7,11,7,11,5,13,9,9,2,3,12,14,13,0,11,0,0,2,6,10,10,12,12,13,4,13,13,10
vessel 16,6,6,13,3,14,4,12,16,7,8,15,15,4,14,7,15,0,9,14,10,3,13,13,8,11,14,5,15,7,8
vessel 17,9,12,2,17,10,4,6,6,7,14,12,13,11,4,13,8,2,0,10,0,5,4,5,1,8,14,9,8,9,2
vessel 18,14,8,15,4,7,1,8,11,8,5,12,4,13,1,12,13,16,10,0,8,5,9,16,9,1,2,9,5,15,7
vessel 19,6,10,2,11,6,1,9,4,14,8,10,12,9,11,1,8,5,5,3,0,2,10,9,2,15,13,13,4,6,14
vessel 20,9,9,4,13,7,3,9,9,8,15,1,13,2,5,0,4,13,8,6,2,0,4,4,5,17,6,9,11,15,2
vessel 21,14,4,12,13,1,9,13,8,10,1,11,12,15,4,3,7,10,10,4,10,7,0,11,13,12,9,13,13,0,5
vessel 22,8,8,14,10,5,6,11,9,2,3,13,9,6,11,12,5,1,4,9,15,6,7,0,6,12,8,1,7,3,7
vessel 23,8,0,15,6,12,3,7,1,14,6,1,9,9,16,9,3,3,8,14,15,6,17,8,0,15,5,15,12,11,12
vessel 24,2,8,4,5,16,7,7,9,10,9,6,17,12,12,10,5,4,4,6,5,12,14,7,8,0,13,6,9,8,4
vessel 25,18,5,9,7,7,6,8,11,2,2,9,10,12,11,12,13,8,11,13,11,0,10,8,8,8,0,9,5,16,12
vessel 26,1,6,2,1,15,8,2,3,15,4,5,9,8,13,2,13,14,4,5,9,10,13,8,10,11,14,0,10,5,15
vessel 27,0,10,15,12,5,8,0,13,2,4,6,7,7,3,10,3,13,9,11,4,14,5,4,6,6,14,8,0,11,6
vessel 28,14,13,6,10,2,11,12,5,14,13,14,14,16,11,5,7,4,9,11,6,16,3,13,4,4,13,12,12,0,15
vessel 29,7,5,8,15,8,11,14,5,16,0,4,18,7,7,7,11,5,7,11,9,13,12,16,13,17,6,14,2,1,0
