,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,7,12,3,3,8,10,8,13,3,1,9,11,8,6,14,11,1,0,9,8,13,0,9,10,2,7,5,12,1
vessel 1,1,0,8,9,12,9,6,12,11,7,10,7,11,5,14,6,8,14,12,0,7,3,0,0,3,8,10,5,13,10
vessel 2,2,7,0,2,1,3,0,3,10,2,1,8,0,13,9,10,2,0,0,11,9,2,11,7,3,3,0,9,4,13
vessel 3,5,11,3,0,0,14,5,1,1,13,10,6,0,3,1,3,0,6,8,1,9,10,2,4,6,5,9,0,9,8
vessel 4,5,8,6,5,0,0,12,12,14,9,9,10,12,8,2,5,4,3,4,11,6,2,4,2,1,9,2,1,8,9
vessel 5,7,9,8,7,6,0,10,10,6,1,4,0,13,10,8,12,1,12,0,5,10,7,7,2,6,5,13,4,4,8
vessel 6,11,10,2,9,4,5,0,8,7,3,6,14,10,10,13,2,1,13,8,3,1,3,9,0,3,2,8,4,11,12
vessel 7,7,5,0,3,7,9,4,0,0,9,12,11,5,2,2,12,6,9,14,13,5,6,4,1,8,3,5,9,2,13
vessel 8,5,2,7,13,8,3,10,6,0,14,2,13,14,1,6,13,13,3,14,2,10,8,5,13,8,2,1,0,1,1
vessel 9,4,12,9,9,0,6,9,9,4,0,7,2,4,13,5,9,4,12,1,12,12,10,1,8,5,9,3,3,9,0
vessel 10,4,6,8,7,0,2,9,6,7,12,0,4,4,14,11,11,1,8,3,0,11,10,3,9,7,3,7,1,0,13
vessel 11,9,8,0,8,4,3,0,13,1,0,4,0,14,7,3,7,3,10,1,9,10,9,2,0,0,1,12,4,9,8
vessel 12,9,4,10,10,8,10,10,7,0,6,0,0,0,9,8,6,0,4,3,0,12,8,9,5,1,11,6,0,5,9
vessel 13,6,1,10,1,7,3,0,0,0,0,9,0,6,0,14,11,14,8,12,9,8,1,3,9,3,12,1,6,10,12
vessel 14,13,5,3,10,12,5,1,4,5,6,3,13,10,0,0,14,0,13,14,7,7,7,3,11,10,4,10,5,1,10
vessel 15,6,11,6,11,7,9,5,12,8,9,2,1,11,11,13,0,8,0,0,1,4,10,7,12,11,13,4,13,8,7
vessel 16,6,6,12,1,14,4,9,11,5,5,13,11,3,12,2,11,0,7,12,7,3,10,10,8,9,11,2,11,6,5
vessel 17,5,10,0,13,7,4,6,4,7,13,12,12,10,2,11,5,2,0,7,0,4,0,1,0,5,14,8,6,8,0
vessel 18,13,5,13,4,7,0,6,8,5,3,11,3,11,0,10,10,14,9,0,6,1,8,13,9,0,2,8,4,12,5
vessel 19,6,8,1,8,1,0,8,2,10,7,6,12,7,11,0,7,3,4,2,0,1,7,9,0,11,11,12,3,6,12
vessel 20,7,5,2,11,7,0,7,8,6,10,0,12,0,5,0,2,13,6,4,1,0,2,4,3,13,5,6,9,14,2
vessel 21,14,3,10,10,1,5,12,6,8,0,10,10,14,3,0,5,8,9,2,7,7,0,6,12,12,8,9,12,0,1
vessel 22,8,8,11,8,4,5,10,6,0,3,12,5,6,11,9,2,0,2,8,13,4,5,0,4,10,8,0,4,1,6
vessel 23,5,0,13,4,12,2,5,0,12,4,0,7,9,14,7,1,0,6,14,12,5,12,6,0,14,5,13,6,9,10
vessel 24,0,7,1,4,13,6,6,5,6,8,5,13,12,10,7,3,3,3,5,1,7,12,7,4,0,11,6,6,6,4
vessel 25,13,2,8,7,6,6,4,8,1,0,7,10,9,9,11,10,8,11,10,11,0,9,5,6,7,0,5,5,14,12
vessel 26,0,3,2,0,12,6,1,3,13,3,3,9,6,12,0,11,11,1,4,8,7,8,7,9,7,13,0,10,5,12
vessel 27,0,7,13,10,5,4,0,9,1,2,5,7,5,3,7,1,13,6,12,3,14,4,2,5,4,10,5,0,10,3
vessel 28,12,12,4,7,1,8,11,2,15,13,12,11,11,9,5,4,0,8,10,4,14,3,13,3,3,11,11,8,0,12
vessel 29,6,4,8,14,5,7,14,4,13,0,2,14,6,5,5,8,5,5,10,9,13,11,13,11,12,4,14,0,0,0
